number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
111237,Fix openGL depthbuffer attachment using wrong type,dog-on-moon,2025-10-04T03:45:03Z,2025-10-04T12:54:15+00:00,1,9.15,False,2,2,1,952,2,0,2,CLOSED
111201,Ensure correct metadata for enum items,KoBeWi,2025-10-03T09:28:28Z,2025-10-03T10:49:38+00:00,2,1.35,True,11,8,2,46,2,0,2,MERGED
111194,Add missing ItemListSecondary and TreeSecondary theme type variations,passivestar,2025-10-03T07:14:23Z,2025-10-03T17:11:17+00:00,1,9.95,True,3,0,3,117,2,0,2,MERGED
111191,Fix weak and strong joypad vibration being swapped,Nintorch,2025-10-03T06:10:08Z,2025-10-03T17:11:17+00:00,1,11.02,True,9,3,1,189,1,0,1,MERGED
111169,Add icon color theme items for `TabBar` and `TabContainer`,YeldhamDev,2025-10-02T17:02:38Z,2025-10-03T17:11:17+00:00,3,24.14,True,81,10,8,200,1,2,3,MERGED
111159,Remaining FileDialog changes before unification,KoBeWi,2025-10-02T11:26:45Z,2025-10-02T20:17:22+00:00,4,8.84,True,23,1,4,300,1,1,2,MERGED
111158,Refactor `Array` iterators to be trivially copyable.,WhalesState,2025-10-02T11:25:55Z,2025-10-03T17:11:17+00:00,2,29.76,True,10,31,2,0,1,0,1,MERGED
111150,Fix switching back to local SceneTree.,WhalesState,2025-10-02T08:56:23Z,2025-10-02T20:17:22+00:00,1,11.35,True,10,7,2,74,1,0,1,MERGED
111149,Fix game `Camera2D` override from editor and 2D debug templates building.,WhalesState,2025-10-02T08:51:54Z,2025-10-02T20:17:21+00:00,2,11.42,True,9,4,3,29,4,0,4,MERGED
111146,Fix compiling SDL without DBus under Linux,Kaleb-Reid,2025-10-02T06:33:00Z,2025-10-02T20:17:21+00:00,2,13.74,True,1,1787,11,117,6,0,6,MERGED
111143,Fix off-by-one bug for line 1 in EditorInterface::edit_script(),la21georges,2025-10-02T01:20:12Z,2025-10-02T07:46:33+00:00,1,6.44,False,7,1,1,286,1,1,2,CLOSED
111141,Renderer: Fix missing shader_name; use forward declarations,stuartcarnie,2025-10-02T00:06:36Z,2025-10-02T20:17:21+00:00,2,20.18,True,9,2,5,208,2,0,2,MERGED
111134,Fix enum strings losing space,KoBeWi,2025-10-01T20:01:54Z,2025-10-02T12:05:42+00:00,1,16.06,True,1,1,1,128,2,0,2,MERGED
111133,"Fix typo ""blocker"" to ""block"" in AESContext",versjon,2025-10-01T19:45:39Z,2025-10-02T20:17:22+00:00,1,24.53,True,2,2,1,106,1,0,1,MERGED
111126,Optimize initial `Node::get_path` call by avoiding `Vector::reverse`,HolonProduction,2025-10-01T17:40:40Z,2025-10-02T20:17:22+00:00,3,26.61,True,3,3,1,561,1,1,2,MERGED
111121,Fix bottom panel being unintentionally draggable,syntaxerror247,2025-10-01T16:16:02Z,2025-10-01T23:08:02+00:00,1,6.87,True,1,1,1,13,1,0,1,MERGED
111115,Drop the experimental label for the Jolt Physics integration,mihe,2025-10-01T12:28:43Z,2025-10-01T18:20:12+00:00,6,5.86,True,1,1,1,3086,4,2,6,MERGED
111106,Group together 2D camera override functions,aaronfranke,2025-10-01T07:30:21Z,2025-10-03T17:11:16+00:00,2,57.68,True,79,79,4,568,2,0,2,MERGED
111103,"[iOS, 3.x] Switch window creation to UIScene.",bruvzg,2025-10-01T05:59:31Z,2025-10-01T07:13:54+00:00,1,1.24,True,269,30,7,146,1,0,1,MERGED
111090,GDExtension: Prevent breaking compatibility for unexposed classes that can only be created once,dsnopek,2025-09-30T19:54:41Z,2025-10-02T20:17:21+00:00,9,48.38,True,33,5,4,1839,3,1,4,MERGED
111087,[JoltPhysics] Fix Generic6DOFJoint3D not respecting angular limits,jrouwe,2025-09-30T19:02:34Z,2025-10-01T23:08:02+00:00,1,28.09,True,15,2,1,189,3,0,3,MERGED
111085,Fix tag name focus,KoBeWi,2025-09-30T18:30:08Z,2025-10-01T23:08:01+00:00,1,28.63,True,1,1,1,73,1,0,1,MERGED
111084,"Make `CowData::reserve` warn message when new capacity < size verbose, like other `reserve` methods",Ivorforce,2025-09-30T18:23:17Z,2025-09-30T23:39:00+00:00,1,5.26,True,5,2,1,284,1,0,1,MERGED
111079,[3.x] Fix `mbedtls` readme duplicated text,lawnjelly,2025-09-30T16:55:19Z,2025-10-01T09:14:44+00:00,1,16.32,True,0,2,1,38,1,0,1,MERGED
111067,Remove unused `multiplayer` member from `Node`,HolonProduction,2025-09-30T12:05:34Z,2025-10-01T23:08:01+00:00,2,35.04,True,0,2,1,246,5,0,5,MERGED
111061,"[3.x] Android: Set minsdk to 21, workaround `fseeko` error in Opus.",InfoDevkota,2025-09-30T07:30:15Z,2025-09-30T16:26:23+00:00,6,8.94,True,36,4,5,171,11,2,13,MERGED
111060,Always show settings to enable DOF near + far,Kaleb-Reid,2025-09-30T05:37:39Z,2025-10-01T23:08:01+00:00,1,41.51,True,2,2,1,228,1,0,1,MERGED
111054,Sort render list correctly in RD renderers,Kaleb-Reid,2025-09-30T00:10:39Z,2025-09-30T16:26:18+00:00,3,16.26,True,10,10,4,131,4,1,5,MERGED
111050,Fix incorrect usage of `Color::from_hsv()` exposed by newer compilers,MBCX,2025-09-29T22:21:43Z,2025-09-30T23:39:00+00:00,2,25.29,True,15,15,3,36,1,0,1,MERGED
111043,Remove unused `import_path` member from `Node`,HolonProduction,2025-09-29T19:42:08Z,2025-10-01T01:15:32+00:00,1,29.56,True,0,25,2,0,3,0,3,MERGED
111034,Add Experimental Support for RISC-V for Android,MBCX,2025-09-29T13:15:34Z,2025-09-30T16:10:02+00:00,11,26.91,False,48,15,7,271,6,3,9,CLOSED
111032,Fix d3d12 stencil buffer not clearing,Joonnas,2025-09-29T12:33:23Z,2025-09-30T16:26:18+00:00,1,27.88,True,4,1,1,206,3,0,3,MERGED
111018,Fix unreachable code warning in double-precision builds,Zylann,2025-09-29T00:03:44Z,2025-10-01T01:15:32+00:00,3,49.2,True,4,3,1,63,1,1,2,MERGED
111014,[TextServer] Enforce zero width spaces and joiners to actually be zero width and not fallback to regular space.,bruvzg,2025-09-28T21:54:31Z,2025-10-01T01:15:32+00:00,1,51.35,True,7,2,1,13,1,0,1,MERGED
111013,Renderer: Move `reflect_spirv` to `RenderingShaderContainer`,stuartcarnie,2025-09-28T21:07:30Z,2025-10-01T23:08:02+00:00,2,74.01,True,425,391,12,1927,1,0,1,MERGED
111004,Document `compress()` not being supported in exported builds in Image,Calinou,2025-09-28T15:07:37Z,2025-10-01T01:15:32+00:00,3,58.13,True,9,7,1,286,1,1,2,MERGED
110987,Make extended SkeletonModifiers retrieve interpolated global transform,TokageItLab,2025-09-28T04:38:26Z,2025-10-01T01:15:32+00:00,1,68.62,True,7,7,2,135,1,0,1,MERGED
110977,Use const ref parameters in the Web modules,aaronfranke,2025-09-27T19:28:47Z,2025-09-30T16:26:18+00:00,2,68.96,True,80,80,19,1175,1,4,5,MERGED
110970,GUI: Fix `nullptr` deref in TextServer,Repiteo,2025-09-27T15:57:34Z,2025-09-27T18:42:32+00:00,1,2.75,True,1,1,1,13,0,0,0,MERGED
110964,Fix crash when calling `move_and_collide` with a null `jolt_body`,mihe,2025-09-27T11:41:10Z,2025-10-01T01:15:32+00:00,2,85.57,True,4,0,1,582,1,0,1,MERGED
110952,Skip copying values constructed immediately before returning,aaronfranke,2025-09-27T02:24:25Z,2025-09-30T16:26:18+00:00,3,86.03,True,35,60,14,517,1,1,2,MERGED
110951,Use const Array ref in `set_structured_text_bidi_override_options`,aaronfranke,2025-09-27T02:23:09Z,2025-09-30T23:39:00+00:00,1,93.26,True,36,36,16,1091,1,0,1,MERGED
110948,Use const ref parameters in the OpenXR module,aaronfranke,2025-09-27T01:08:36Z,2025-09-30T16:26:18+00:00,7,87.3,True,183,185,36,1125,1,5,6,MERGED
110946,Fix region folding not loading properly,KoBeWi,2025-09-26T21:30:02Z,2025-10-01T01:15:32+00:00,1,99.76,True,15,1,2,1029,1,0,1,MERGED
110936,Change `macos.permission.RECORD_SCREEN` version check from 10.15 to 11.0.,bruvzg,2025-09-26T16:27:25Z,2025-10-01T01:15:32+00:00,1,104.8,True,2,2,1,13,1,0,1,MERGED
110914,Fix CCD bodies adding multiple contact manifolds when using Jolt,mihe,2025-09-25T23:28:09Z,2025-09-26T18:53:08+00:00,2,19.42,True,6,0,1,841,4,0,4,MERGED
110907,Free script and extension instance before object deconstructing,beicause,2025-09-25T18:21:17Z,2025-09-30T23:39:00+00:00,5,125.3,True,46,39,2,80,1,4,5,MERGED
110898,[3.x] Fix build on macOS 26 by removing AGL framework link,Calinou,2025-09-25T15:00:13Z,2025-09-30T10:36:28+00:00,2,115.6,True,0,2,1,324,3,0,3,MERGED
110897,"Windows: Migrate `godot.manifest` to `platform/windows`, include as dependency",Repiteo,2025-09-25T14:28:24Z,2025-09-30T16:26:18+00:00,1,121.97,True,3,2,4,361,3,0,3,MERGED
110894,Fix SpinBox stepper grabbing focus state on mouse input,Giganzo,2025-09-25T12:52:41Z,2025-10-01T01:15:32+00:00,1,132.38,True,2,2,1,245,1,0,1,MERGED
110886,Fix LineEdit's placeholder text being selected when double clicking,fstxz,2025-09-25T08:07:41Z,2025-10-01T01:15:32+00:00,2,137.13,True,2,2,1,102,2,0,2,MERGED
110882,Fix HashMap/HashSet in natvis after member renames,nikitalita,2025-09-25T04:53:57Z,2025-09-25T17:19:53+00:00,1,12.43,True,12,12,1,136,1,0,1,MERGED
110878,"Fix and improve `Node2D.move_local_{x,y}()` description",Calinou,2025-09-24T21:47:46Z,2025-10-01T01:15:32+00:00,6,147.46,True,5,5,2,161,1,2,3,MERGED
110875,wayland: Inhibit idle in DisplayServerWayland::screen_set_keep_on,vmedea,2025-09-24T20:27:01Z,2025-09-30T23:39:00+00:00,2,147.2,True,2,0,1,216,2,0,2,MERGED
110873,Metal: Fix Metal compiler version inspection,stuartcarnie,2025-09-24T20:12:21Z,2025-09-30T16:26:18+00:00,2,140.23,True,3,4,1,96,5,0,5,MERGED
