number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
37716,test: roll stable-test-runner to 1.57.0-alpha-2025-10-06,microsoft-playwright-automation,2025-10-06T10:05:51Z,2025-10-06T11:50:56+00:00,1,1.75,True,24,24,2,0,1,0,1,MERGED
37715,chore: disable RenderDocument feature,dgozman,2025-10-06T09:49:18Z,2025-10-06T12:07:10+00:00,2,2.3,True,2,0,1,170,3,0,3,MERGED
37702,chore(bidi): use bidi- channels with playwright.chromium,yury-s,2025-10-03T17:14:58Z,2025-10-03T20:44:23+00:00,2,3.49,True,57,67,31,16,3,2,5,MERGED
37696,chore(bidi): use firefox browser type with moz-firefox- channel,yury-s,2025-10-02T23:14:02Z,2025-10-03T15:25:30+00:00,2,16.19,True,67,76,31,16,5,8,13,MERGED
37694,chore: move best practices into the journal,pavelfeldman,2025-10-02T22:47:34Z,2025-10-03T00:32:30+00:00,1,1.75,True,30,41,5,0,3,0,3,MERGED
37687,docs: v1.56 release notes,agg23,2025-10-02T17:50:53Z,2025-10-06T12:26:19+00:00,2,90.59,True,59,0,1,0,0,6,6,MERGED
37685,chore: fix context._disableRecorder,dgozman,2025-10-02T15:07:35Z,2025-10-03T07:50:27+00:00,1,16.71,True,16,3,3,13,1,0,1,MERGED
37682,chore: remove the wrong heap test,dgozman,2025-10-02T10:53:30Z,2025-10-02T19:41:09+00:00,1,8.79,True,0,12,1,75,1,0,1,MERGED
37680,docs: Enhance `docs/src/api/class-browsercontext.md`,stefanseeger,2025-10-02T07:03:21Z,2025-10-06T10:26:24+00:00,2,99.38,True,11,11,3,227,2,1,3,MERGED
37677,chore(mcp): unguessable mdb url,yury-s,2025-10-01T23:39:06Z,2025-10-02T17:52:27+00:00,1,18.22,True,35,9,4,0,0,0,0,MERGED
37674,chore(mdb): use intent sniffing instead of explicit logging,pavelfeldman,2025-10-01T21:33:06Z,2025-10-01T23:20:00+00:00,1,1.78,True,172,167,27,0,4,0,4,MERGED
37673,feat(firefox): roll to r1495,microsoft-playwright-automation,2025-10-01T21:15:56Z,2025-10-02T08:25:37+00:00,1,11.16,True,1,1,1,0,3,0,3,MERGED
37671,feat(firefox-beta): roll to r1490,microsoft-playwright-automation,2025-10-01T20:31:43Z,2025-10-02T08:26:28+00:00,1,11.91,True,1,1,1,0,3,0,3,MERGED
37668,chore(mcp): run seed test in the first top level project by default,yury-s,2025-10-01T19:35:43Z,2025-10-01T21:31:51+00:00,1,1.94,True,135,22,6,0,2,0,2,MERGED
37667,chore(webkit): remove handler for Page.frameScheduledNavigation,yury-s,2025-10-01T17:02:17Z,2025-10-01T18:18:33+00:00,2,1.27,True,0,6,1,186,2,0,2,MERGED
37663,chore(mcp): handle cross-fs video moves,agg23,2025-10-01T13:38:40Z,2025-10-01T15:03:31+00:00,1,1.41,True,13,4,1,617,0,0,0,MERGED
37661,Revert debug controller UI additions,Skn0tt,2025-10-01T08:21:45Z,2025-10-01T11:27:07+00:00,1,3.09,True,38,739,24,47,4,0,4,MERGED
37659,chore: flatten the mdb,pavelfeldman,2025-10-01T02:36:52Z,2025-10-01T19:28:50+00:00,1,16.87,True,69,84,4,0,0,1,1,MERGED
37657,chore(mcp): support --allowed-hosts=*,yury-s,2025-09-30T20:48:46Z,2025-09-30T22:59:06+00:00,1,2.17,True,22,11,3,40,0,0,0,MERGED
37656,fix(trace): should survive ping as the first command after restart,pavelfeldman,2025-09-30T20:16:19Z,2025-09-30T22:25:23+00:00,2,2.15,True,42,21,2,0,2,2,4,MERGED
37655,"devops: drop macos 13 runners, add macos 26 for webkit",yury-s,2025-09-30T17:49:53Z,2025-09-30T23:00:00+00:00,1,5.17,True,2,4,1,191,3,0,3,MERGED
37653,fix(test): properly record the PW test directory used for MCP tests,agg23,2025-09-30T16:39:29Z,2025-09-30T18:17:56+00:00,1,1.64,True,8,6,1,249,0,0,0,MERGED
37651,chore(mcp): do not set custom prefix for tools in vscode,yury-s,2025-09-30T15:33:37Z,2025-09-30T17:14:44+00:00,2,1.69,True,13,148,7,72,4,1,5,MERGED
37649,chore(bidi): cancel navigation that turned into a download,hbenl,2025-09-30T13:40:47Z,2025-10-01T17:09:23+00:00,1,27.48,True,2,47,2,953,1,0,1,MERGED
37648,feat(webkit): roll to r2215,microsoft-playwright-automation,2025-09-30T12:31:21Z,2025-09-30T17:40:15+00:00,1,5.15,True,2,2,2,0,4,0,4,MERGED
37644,chore: introduce generator log,pavelfeldman,2025-09-29T23:50:56Z,2025-09-30T20:30:53+00:00,2,20.67,True,727,251,17,0,4,0,4,MERGED
37643,test: add tests for init-agents command,yury-s,2025-09-29T23:31:46Z,2025-09-30T00:34:38+00:00,1,1.05,True,124,0,1,0,0,0,0,MERGED
37641,chore: generate code via session log,pavelfeldman,2025-09-29T21:28:49Z,2025-09-30T19:40:26+00:00,1,22.19,False,240,123,12,0,2,0,2,CLOSED
37640,fix(snapshot): draw a minimum size browser window for small snapshots,agg23,2025-09-29T18:14:46Z,2025-10-02T13:37:39+00:00,2,67.38,True,27,8,2,228,2,1,3,MERGED
37639,chore(mcp): initialize seed test in the first project,yury-s,2025-09-29T17:46:52Z,2025-09-29T22:38:11+00:00,2,4.86,True,43,15,3,0,2,5,7,MERGED
37638,chore(html): show empty state when all tests are filtered out,agg23,2025-09-29T17:09:42Z,2025-10-02T13:31:06+00:00,1,68.36,True,34,18,2,249,2,1,3,MERGED
37636,chore(cli): display init-agents help by default,agg23,2025-09-29T14:37:10Z,2025-10-01T23:17:53+00:00,1,56.68,False,2,0,1,254,2,0,2,CLOSED
37634,chore(bidi): add support for emulation.setUserAgentOverride,hbenl,2025-09-29T12:08:19Z,2025-09-30T17:06:41+00:00,1,28.97,True,408,185,3,395,1,0,1,MERGED
37633,test: roll stable-test-runner to 1.56.0-alpha-2025-09-29,microsoft-playwright-automation,2025-09-29T10:05:53Z,2025-09-29T12:41:17+00:00,1,2.59,True,24,24,2,0,1,0,1,MERGED
37632,devops: show mcp tests on flakiness dashboard,mxschmitt,2025-09-29T09:18:46Z,2025-09-29T11:02:41+00:00,1,1.73,True,12,5,1,83,0,0,0,MERGED
37628,docs: fix typo in TestStep.category JSDoc,zacc,2025-09-29T04:15:22Z,2025-09-29T12:46:20+00:00,1,8.52,True,2,2,2,93,3,0,3,MERGED
37619,fix(ui mode): filter dialog positioning,dgozman,2025-09-27T13:56:15Z,2025-09-30T12:11:13+00:00,2,70.25,True,66,96,6,281,2,3,5,MERGED
37618,feat(mcp): console error and faster wait,pavelfeldman,2025-09-27T01:00:45Z,2025-09-30T20:31:18+00:00,2,91.51,True,55,12,5,0,0,2,2,MERGED
