number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
5914,build(deps): bump the dependencies group across 1 directory with 8 updates,dependabot,2025-08-23T13:58:17Z,2025-09-01T03:59:04+00:00,3,206.01,False,27,26,2,11478,1,0,1,CLOSED
5899,refactor: simplify adding new node versions add node 24,ChristopherHX,2025-08-12T19:13:40Z,2025-08-21T23:07:47+00:00,2,219.9,True,43,24,2,56,5,2,7,MERGED
5893,fix: allow yaml anchors,ChristopherHX,2025-08-04T15:04:56Z,2025-09-19T17:34:52+00:00,4,1106.5,False,29,0,2,71,5,2,7,CLOSED
5891,chore: mergify does no longer support queue_conditions != merge_condi…,ChristopherHX,2025-08-01T15:15:59Z,2025-08-08T16:38:36+00:00,1,169.38,True,2,7,1,293,4,0,4,MERGED
5884,fix: use ubuntu-latest bookworm instead of buster for tests,ChristopherHX,2025-07-25T10:49:46Z,2025-07-25T20:33:59+00:00,1,9.74,True,1,1,1,246,2,0,2,MERGED
5330,Really really dont depend on docker,wall-rl,2025-06-13T17:15:33Z,2025-06-26T19:14:49+00:00,1,313.99,False,73,10,5,0,1,1,2,CLOSED
5326,feat: allow workflow description,ChristopherHX,2025-06-13T13:05:08Z,2025-06-13T16:33:10+00:00,1,3.47,True,2,0,1,52,3,0,3,MERGED
5297,fix: post step failure is job failure,ChristopherHX,2025-06-12T23:11:28Z,2025-06-13T16:53:18+00:00,1,17.7,True,32,8,6,51,1,0,1,MERGED
5296,fix: file name,ChristopherHX,2025-06-12T21:18:37Z,2025-08-21T23:18:42+00:00,1,1682.0,True,0,0,1,19,6,0,6,MERGED
5295,fix: step container workdir and mounts,ChristopherHX,2025-06-12T21:09:44Z,2025-08-21T23:29:43+00:00,1,1682.33,True,77,2,8,171,1,0,1,MERGED
5294,fix: matrix expansion logic,ChristopherHX,2025-06-12T21:06:23Z,2025-08-21T23:39:01+00:00,2,1682.54,True,33,28,2,194,3,0,3,MERGED
5276,ci: fix goreleaser config,panekj,2025-06-11T17:57:47Z,2025-06-11T21:43:53+00:00,1,3.77,True,2,1,1,0,2,0,2,MERGED
5028,fix: GITHUB_ENV and GITHUB_OUTPUT allow larger lines,ChristopherHX,2025-06-03T20:57:50Z,2025-06-11T17:36:11+00:00,2,188.64,True,5,2,3,86,2,0,2,MERGED
5026,fix: valueMasker concurrent map write,ChristopherHX,2025-06-02T15:00:22Z,2025-06-11T18:06:26+00:00,2,219.1,True,5,1,1,89,2,0,2,MERGED
3225,added info log when container image platform mismatched,rmfleet,2025-05-24T02:15:35Z,2025-06-19T21:37:15+00:00,6,643.36,True,7,1,1,395,1,1,2,MERGED
2924,ci: make codecov informational only,panekj,2025-05-23T01:45:23Z,2025-05-23T08:26:29+00:00,1,6.68,True,1,0,1,66,2,0,2,MERGED
2777,feat: Default to host architecture for containers and enhance ARM CI,alvidofaisal,2025-05-21T19:27:38Z,2025-05-23T05:38:11+00:00,1,34.18,False,67,12,3,1294,0,1,1,CLOSED
2767,feat: add models permission level for AI inference responses,pelikhan,2025-05-20T13:10:20Z,2025-05-22T21:57:52+00:00,2,56.79,True,4,0,1,199,6,0,6,MERGED
2762,feat: Add an option to set act executor concurrency by cli option.,qoomon,2025-05-19T06:03:56Z,2025-05-23T08:05:42+00:00,11,98.03,True,20,6,3,9,7,2,9,MERGED
2761,feat: log parsed commands and step summary,ChristopherHX,2025-05-18T19:39:42Z,2025-06-01T21:30:40+00:00,1,337.85,True,89,36,8,0,12,0,12,MERGED
2755,fix: wrap subpath in '' (#2754),jsoref,2025-05-13T12:01:23Z,2025-05-23T08:46:05+00:00,2,236.75,True,7,7,2,450,4,0,4,MERGED
2753,fix: add missing punctuation to error report (#2752),jsoref,2025-05-13T11:39:43Z,2025-05-23T06:42:27+00:00,2,235.05,True,1,1,1,647,1,0,1,MERGED
2745,ci: disable stale bot,panekj,2025-05-04T10:22:36Z,2025-05-04T12:13:23+00:00,1,1.85,True,1,2,1,0,3,0,3,MERGED
2742,build(deps): update choco,ChristopherHX,2025-04-25T20:24:26Z,2025-05-04T11:54:21+00:00,1,207.5,True,2,2,1,84,2,0,2,MERGED
2734,docs: removed the workflow badge,operagxsasha,2025-04-16T15:18:19Z,2025-06-11T17:44:31+00:00,1,1346.44,False,1,1,1,0,4,0,4,CLOSED
2721,chore(ci): Only promote if possible,jsoref,2025-04-01T12:56:02Z,2025-04-05T06:03:19+00:00,2,89.12,True,7,0,1,105,4,1,5,MERGED
2717,feat: `--validate` and `--strict`,ChristopherHX,2025-03-28T21:28:20Z,2025-06-11T22:02:16+00:00,3,1800.57,True,79,35,9,217,5,0,5,MERGED
2715,fix: reporting fetch failure as job error and log the error,ChristopherHX,2025-03-26T20:07:29Z,2025-03-29T16:41:42+00:00,1,68.57,True,156,13,3,270,4,0,4,MERGED
2714,feat: Support graceful job step cancellation,ChristopherHX,2025-03-26T16:05:37Z,2025-03-29T17:00:37+00:00,1,72.92,True,241,28,8,501,3,0,3,MERGED
2705,chore(deps): bump to go1.24 due to deps updates,ChristopherHX,2025-03-23T15:13:04Z,2025-03-23T16:42:43+00:00,1,1.49,True,2,2,2,160,2,0,2,MERGED
2700,Report the elapsed time for each workflow step,ptagl,2025-03-18T00:07:19Z,2025-03-18T12:51:54+00:00,2,12.74,True,5,2,1,982,2,0,2,MERGED
2692,Refer to nektosact.com,jsoref,2025-03-10T11:21:08Z,2025-03-10T13:34:32+00:00,2,2.22,True,1,1,1,11,1,0,1,MERGED
2690,fixes #2689 Make the external url of cache server configurable if necessary ,Zoupers,2025-03-03T16:44:17Z,2025-03-05T00:04:23+00:00,6,31.34,True,55,9,4,69,2,2,4,MERGED
2687,Clarify --no-skip-checkout flag,jsoref,2025-02-27T20:06:05Z,2025-02-28T03:58:41+00:00,2,7.88,True,1,1,1,101,2,0,2,MERGED
2683,chore: mergify and codeowners do not request review,ChristopherHX,2025-02-24T17:02:13Z,2025-02-25T01:42:38+00:00,1,8.67,True,0,17,2,149,2,0,2,MERGED
2682,Add tests against reading config files,wooseopkim,2025-02-23T06:57:09Z,2025-02-25T02:09:22+00:00,4,43.2,True,46,0,4,118,1,1,2,MERGED
2679,"ci: separate lint, run tests on code changes",panekj,2025-02-22T14:34:37Z,2025-08-21T23:22:41+00:00,2,4328.8,False,461,426,17,132,5,1,6,CLOSED
2678,docs: Remove Gitter,panekj,2025-02-22T14:23:07Z,2025-05-22T21:19:07+00:00,2,2142.93,True,4,10,3,88,5,0,5,MERGED
2675,build(deps): bump the dependencies group with 6 updates,dependabot,2025-02-21T15:20:35Z,2025-02-25T09:28:30+00:00,3,90.13,True,35,37,5,12577,2,0,2,MERGED
2653,chore: move to environment secrets,cplee,2025-02-09T18:59:14Z,2025-02-09T22:37:02+00:00,11,3.63,True,22,43,4,258,2,2,4,MERGED
