number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
17129,CUDA Compute Capability change for RTX 5000 series,namemechan,2025-09-17T11:39:17Z,2025-09-17T16:31:20+00:00,1,4.87,True,1,1,1,356,1,0,1,MERGED
17085,Update webui-user.bat,0963628050,2025-08-06T04:51:48Z,2025-08-07T03:37:08+00:00,1,22.76,False,2,1,1,348,0,1,1,CLOSED
16972,PyTorch 2.7.0 xFormers 0.0.30,w-e-w,2025-04-29T12:03:09Z,2025-05-01T16:57:46+00:00,1,52.91,True,4,3,1,555,6,0,6,MERGED
16928,Add random number generator source to filename,richardsonnick,2025-04-01T03:35:50Z,2025-05-02T17:02:05+00:00,1,757.44,True,1,0,1,476,1,0,1,MERGED
16926,Fix Beta sampling to match the paper,heftig,2025-03-28T22:06:14Z,2025-05-03T06:17:03+00:00,2,848.18,True,9,6,2,93,0,1,1,MERGED
16872,"small fix,",gutris1,2025-03-01T10:46:16Z,2025-03-04T16:10:18+00:00,2,77.4,True,1,1,1,273,0,1,1,MERGED
16869,Support uv Package Manager,Haoming02,2025-02-28T11:30:28Z,2025-02-28T15:24:10+00:00,3,3.9,True,55,0,3,637,2,1,3,MERGED
16853,Detect CMP cards,w-e-w,2025-02-18T12:16:47Z,2025-02-18T13:59:45+00:00,1,1.72,True,1,1,1,233,0,0,0,MERGED
16852,python 3.9 annotation compatibility,w-e-w,2025-02-18T11:12:15Z,2025-03-04T16:11:26+00:00,1,340.99,True,1,0,1,1131,0,0,0,MERGED
16832,Update webui-macos-env.sh,shinriyo,2025-02-08T07:12:57Z,2025-07-01T17:07:49+00:00,3,3441.91,False,2,2,1,1372,5,1,6,CLOSED
16830,Old hash form cache,w-e-w,2025-02-07T18:14:42Z,2025-02-10T07:14:32+00:00,1,61.0,True,32,18,2,599,0,0,0,MERGED
16819,Randomize prompt iterations during Batch - img2img.py,palentir,2025-01-30T16:20:24Z,2025-01-31T04:45:46+00:00,1,12.42,False,4,1,1,358,2,0,2,CLOSED
16817,Blackwell compatibility (Windows only),w-e-w,2025-01-30T10:24:48Z,2025-01-30T17:36:02+00:00,1,7.19,True,34,1,1,1448,3,0,3,MERGED
16814,Update sd_samplers_cfg_denoiser.py,Kittensx,2025-01-28T00:03:20Z,2025-07-18T07:54:51+00:00,1,4111.86,False,4,1,1,857,5,0,5,CLOSED
