number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
8283,Nem Update tabs_bloc.dart,Madhuz02,2025-10-10T02:17:15Z,2025-10-10T10:02:32+00:00,2,7.75,False,49,63,1,752,2,2,4,CLOSED
8282,New Update document_alignment_test.dart,Aathish101,2025-10-09T23:32:10Z,2025-10-10T10:02:55+00:00,1,10.51,False,153,80,1,1053,2,0,2,CLOSED
8280,New Update math_equation_block_component.dart,Aathish101,2025-10-09T23:15:34Z,2025-10-10T10:03:17+00:00,2,10.8,False,45,28,1,690,2,1,3,CLOSED
8214,chore: bump version 0.9.9,LucasXu0,2025-09-11T07:57:06Z,2025-09-12T08:21:33+00:00,1,24.41,True,69,2,3,566,1,0,1,MERGED
8174,Update translations,HaitoPhenol,2025-08-19T12:08:03Z,2025-08-20T02:50:31+00:00,1,14.71,True,10,10,1,175,2,0,2,MERGED
8167,Update translations,Moath-Zaghdad,2025-08-15T08:53:15Z,2025-08-20T02:50:59+00:00,1,113.96,True,41,31,5,360,2,0,2,MERGED
8157,Update translations,MatyBuild,2025-08-05T21:07:13Z,2025-08-20T02:51:37+00:00,1,341.74,True,448,38,6,390,3,0,3,MERGED
8149,correction doc / ajout info,Penscribe,2025-07-30T18:06:01Z,2025-08-20T02:55:17+00:00,1,488.82,False,1,0,1,402,3,0,3,CLOSED
8128,Update translations,AlphaSu1978,2025-07-18T17:42:13Z,2025-08-20T02:52:32+00:00,1,777.17,True,2203,281,7,683,3,0,3,MERGED
8119,chore: upgrade AGP version to 8.1.0,LucasXu0,2025-07-14T02:17:30Z,2025-07-14T03:25:53+00:00,1,1.14,True,31,8,7,860,1,1,2,MERGED
8110,fix: prevent location from being accessed continuously on Windows,LucasXu0,2025-07-08T02:36:03Z,2025-07-08T03:50:23+00:00,1,1.24,True,19,20,2,725,1,0,1,MERGED
8098,feat: cover image reposition(#2462),PirateBrook,2025-07-02T11:35:50Z,2025-07-03T07:07:35+00:00,4,19.53,False,731,34,6,942,2,6,8,CLOSED
8094,chore: remove extra space in createdAt translation of zh-CN,YangFong,2025-06-30T12:05:24Z,2025-07-03T01:49:30+00:00,1,61.73,True,1,1,1,438,2,0,2,MERGED
8093,fix: search panel issues,asjqkkkk,2025-06-30T08:09:34Z,2025-09-17T05:58:55+00:00,1,1893.82,False,124,70,4,426,1,1,2,CLOSED
8073,fix: inlang not working for translators,richardshiue,2025-06-17T09:44:50Z,2025-06-23T01:18:22+00:00,1,135.56,True,7,5,2,703,1,0,1,MERGED
8060,chore: adjust toast component,richardshiue,2025-06-13T03:56:04Z,2025-06-16T04:43:44+00:00,1,72.79,True,49,29,3,754,1,2,3,MERGED
8059,refactor: rename dialog,richardshiue,2025-06-13T02:55:22Z,2025-06-16T03:32:20+00:00,1,72.62,True,269,226,19,282,1,2,3,MERGED
8056,chore(mobile): add selected sources count indicator,richardshiue,2025-06-12T07:14:10Z,2025-06-13T01:51:59+00:00,1,18.63,True,63,0,1,770,1,1,2,MERGED
8054,fix: workspace name update not synced,richardshiue,2025-06-11T08:11:32Z,2025-06-11T10:22:06+00:00,1,2.18,True,82,14,2,282,1,0,1,MERGED
8049,fix: outline doesn't show when @dates are used in the headline,LucasXu0,2025-06-10T09:01:34Z,2025-06-10T12:53:06+00:00,1,3.86,True,91,15,5,778,2,2,4,MERGED
8048,fix: improve the link menu in read-only mode,asjqkkkk,2025-06-10T02:38:30Z,2025-06-12T03:28:19+00:00,1,48.83,True,86,40,8,1005,1,0,1,MERGED
8035,feat: optimize share logic,LucasXu0,2025-06-06T13:40:54Z,2025-06-09T04:54:17+00:00,1,63.22,False,313,157,26,1109,1,4,5,CLOSED
8034,fix: some LR issues,asjqkkkk,2025-06-06T02:39:30Z,2025-06-09T04:55:22+00:00,1,74.26,True,20,31,2,682,1,1,2,MERGED
8033,fix: arrow key sometimes jumps to wrong index in search panel,asjqkkkk,2025-06-05T11:20:53Z,2025-09-17T05:59:01+00:00,1,2490.64,False,438,165,8,1285,1,3,4,CLOSED
8028,fix: update de/he translations,LucasXu0,2025-06-05T02:16:55Z,2025-06-05T03:57:55+00:00,1,1.68,True,4,4,2,319,1,0,1,MERGED
