number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
139619,gh-105812: Use the ``:deco:`` role in place of manual decorator markup,AA-Turner,2025-10-05T18:23:32Z,2025-10-05T20:15:36+00:00,1,1.87,True,38,39,13,103,5,0,5,MERGED
139618,GH-123299: Copyedit 3.14 What's New: Trivia,AA-Turner,2025-10-05T17:46:44Z,2025-10-05T19:45:59+00:00,1,1.99,True,34,22,1,172,2,1,3,MERGED
139615,[3.14] GH-123299: Copyedit 3.14 What's New: New Features (GH-139543),miss-islington,2025-10-05T17:05:36Z,2025-10-05T18:38:28+00:00,1,1.55,True,618,624,1,286,0,0,0,MERGED
139603,gh-127330: Comment correction in _ssl.c,smontanaro,2025-10-05T13:15:36Z,2025-10-05T18:15:47+00:00,2,5.0,True,1,1,1,310,0,0,0,MERGED
139601,"Replace ambiguous word ""pound"" by ""hash"" in `difflib` docs",George-Ogden,2025-10-05T12:12:57Z,2025-10-05T17:10:24+00:00,5,4.96,True,1,1,1,242,7,2,9,MERGED
139599,[3.14] gh-118767: Remove ``bool(NotImplemented)`` from pending-removal document (GH-139526),miss-islington,2025-10-05T11:06:25Z,2025-10-05T13:01:35+00:00,1,1.92,True,0,1,1,193,0,0,0,MERGED
139586,[3.14] gh-139573: Update Windows builds to use OpenSSL 3.0.18 (GH-139574),miss-islington,2025-10-05T00:57:06Z,2025-10-05T05:00:29+00:00,1,4.06,True,9,8,4,99,0,0,0,MERGED
139582,gh-139573: Update OpenSSL version used in iOS builds,freakboy3742,2025-10-05T00:21:40Z,2025-10-05T05:03:42+00:00,3,4.7,True,8,1,1,81,4,2,6,MERGED
139581,[3.14] gh-139573: Update Android to OpenSSL 3.0.18 (GH-139562),miss-islington,2025-10-05T00:15:51Z,2025-10-05T04:49:36+00:00,1,4.56,True,7,1,1,135,1,0,1,MERGED
139579,[3.14] gh-138558: Improve description of ``Interpolation.expression`` (GH-139187),miss-islington,2025-10-04T21:07:05Z,2025-10-05T04:41:43+00:00,1,7.58,True,10,7,1,257,0,0,0,MERGED
139577,gh-139573: Update OpenSSL in CI,zware,2025-10-04T17:57:10Z,2025-10-05T00:43:17+00:00,1,6.77,True,17,12,5,103,4,0,4,MERGED
139564,gh-138703: clarify data buffer requirement of `asyncio.StreamWriter.write`,kumaraditya303,2025-10-04T14:49:03Z,2025-10-04T16:14:06+00:00,10,1.42,True,5,4,2,103,4,3,7,MERGED
139562,gh-139573: Update Android to OpenSSL 3.0.18,mhsmith,2025-10-04T14:34:12Z,2025-10-05T00:15:30+00:00,1,9.69,True,7,1,1,31,4,0,4,MERGED
139556,gh-139476: Optimize `range[:]` slice,StanFromIreland,2025-10-04T13:25:29Z,2025-10-05T12:49:08+00:00,1,23.39,False,20,0,3,821,7,1,8,CLOSED
139552,gh-139310: skip `test_aead_aes_gcm` for Linux kernel between 6.16.0 and 6.17.x,picnixz,2025-10-04T10:47:25Z,2025-10-05T08:27:17+00:00,2,21.66,True,17,1,2,349,9,0,9,MERGED
139543,GH-123299: Copyedit 3.14 What's New: New Features,AA-Turner,2025-10-03T16:21:11Z,2025-10-05T17:05:29+00:00,2,48.74,True,618,624,1,185,2,1,3,MERGED
139539,[3.14] gh-105987: unskip `test_issue105987` from `test_asyncio.test_eager_task_factory` (GH-139538),miss-islington,2025-10-03T07:19:16Z,2025-10-03T20:21:29+00:00,1,13.04,True,2,3,1,106,0,0,0,MERGED
139535,gh-139531: Fix TypeError in inspect.getframeinfo when lineno is None,PrinceNaroliya,2025-10-03T05:12:30Z,2025-10-03T12:59:12+00:00,2,7.78,False,24,4,6,1901,2,6,8,CLOSED
139530,GH-123299: Copyedit 3.14 What's New: New and Improved Modules,AA-Turner,2025-10-02T23:34:07Z,2025-10-04T12:58:52+00:00,1,37.41,True,274,178,2,143,3,3,6,MERGED
139526,gh-118767: remove bool(NotImplemented) from pending-removal document,JostMigenda,2025-10-02T22:51:07Z,2025-10-05T11:03:54+00:00,3,60.21,True,0,1,1,268,3,0,3,MERGED
139524,gh-139525: Don't specialize functions which have a modified vectorcall,DinoV,2025-10-02T21:19:54Z,2025-10-03T16:58:32+00:00,2,19.64,True,37,0,3,276,0,0,0,MERGED
139522,[3.14] gh-139495: Fix `hashlib.file_digest()` versionchanged description of `BlockingIOError` (GH-139496),miss-islington,2025-10-02T19:50:44Z,2025-10-02T21:11:58+00:00,1,1.35,True,1,1,1,516,0,0,0,MERGED
139514,gh-70765: avoid waiting for HTTP headers when parsing HTTP/0.9 requests,picnixz,2025-10-02T15:52:27Z,2025-10-05T12:03:25+00:00,4,68.18,True,49,0,3,214,5,2,7,MERGED
139511,gh-88886: `Python/codecs.c`: Remove unused forward declaration post GH-137167,StanFromIreland,2025-10-02T15:23:20Z,2025-10-03T11:33:49+00:00,1,20.17,True,0,2,1,20,2,0,2,MERGED
139508,[3.14] GH-123299: Copyedit 3.14 What's New: Other Language Changes (GH-139425),miss-islington,2025-10-02T14:52:10Z,2025-10-03T20:46:29+00:00,1,29.91,True,180,158,1,212,0,0,0,MERGED
139505,gh-139504: Catch BrokenPipeError in ssl test_client_sigalgs_mismatch(),vstinner,2025-10-02T14:27:20Z,2025-10-02T16:08:29+00:00,3,1.69,True,8,2,1,16,3,1,4,MERGED
139502,gh-77476: Remove urllib HTTP test,vstinner,2025-10-02T13:57:33Z,2025-10-02T15:30:08+00:00,1,1.54,True,0,21,1,104,2,0,2,MERGED
139496,gh-139495: Fix `hashlib.file_digest()` versionchanged description of `BlockingIOError`,moreati,2025-10-02T10:58:06Z,2025-10-02T19:50:36+00:00,6,8.88,True,1,1,1,279,7,1,8,MERGED
139493,[3.14] gh-139487: add missing imports for standalone doctest `Enum` examples (GH-139488),miss-islington,2025-10-02T10:28:47Z,2025-10-02T14:37:19+00:00,1,4.14,True,6,2,1,204,3,0,3,MERGED
139488,gh-139487: doc(enum): add missing imports for standalone doctest examples,ttw225,2025-10-02T07:26:59Z,2025-10-02T10:28:29+00:00,1,3.02,True,6,2,1,542,6,0,6,MERGED
139477,gh-139322: Remove redundant `test_os.Win32ErrorTests`,vstinner,2025-10-01T14:50:02Z,2025-10-02T18:46:25+00:00,3,27.94,True,14,35,2,116,3,1,4,MERGED
139474,gh-116946: partial revert gh-139073 for thread handle type,kumaraditya303,2025-10-01T12:52:58Z,2025-10-01T17:49:31+00:00,1,4.94,True,3,1,1,103,1,0,1,MERGED
139464,[3.13] Document that `PyInterpreterState_GetDict` returns a borrowed reference (GH-139451),miss-islington,2025-10-01T04:16:30Z,2025-10-01T05:56:39+00:00,1,1.67,True,6,0,2,168,0,0,0,MERGED
139463,[3.14] Document that `PyInterpreterState_GetDict` returns a borrowed reference (GH-139451),miss-islington,2025-10-01T04:16:25Z,2025-10-01T05:39:54+00:00,1,1.39,True,6,0,2,168,0,0,0,MERGED
139457,[3.14] GH-123299: Copyedit 3.14 What's New: Deprecated (GH-139433),miss-islington,2025-09-30T18:18:21Z,2025-10-01T09:29:08+00:00,3,15.18,True,58,46,1,212,0,1,1,MERGED
139454,gh-138013: Split BufferedIO tests from test_io.test_general,cmaloney,2025-09-30T17:28:03Z,2025-10-01T07:06:26+00:00,1,13.64,True,1454,1444,2,303,1,0,1,MERGED
139453,gh-139322: Create test_os package,vstinner,2025-09-30T15:53:21Z,2025-10-01T14:42:45+00:00,3,22.82,True,653,630,7,140,3,1,4,MERGED
139451,Document that PyInterpreterState_GetDict returns a borrowed reference,encukou,2025-09-30T15:25:21Z,2025-10-01T04:16:06+00:00,1,12.85,True,6,0,2,157,3,0,3,MERGED
139450,Fix typo in tracemalloc.c,vstinner,2025-09-30T15:21:38Z,2025-10-01T06:58:18+00:00,2,15.61,True,1,1,1,0,1,0,1,MERGED
139449,gh-139116: tracemalloc: Detach thread state when acquiring tables_lock,encukou,2025-09-30T12:59:26Z,2025-09-30T14:43:50+00:00,3,1.74,True,3,1,2,372,2,2,4,MERGED
139433,GH-123299: Copyedit 3.14 What's New: Deprecated,AA-Turner,2025-09-29T20:01:33Z,2025-09-30T18:18:14+00:00,5,22.28,True,58,46,1,103,4,2,6,MERGED
139431,[3.10] gh-139436: Remove link to the PDF downloads (GH-139142),AA-Turner,2025-09-29T18:20:36Z,2025-09-29T20:44:38+00:00,1,2.4,True,13,8,1,54,0,0,0,MERGED
139429,gh-91992: Fall back to UTF-8 if an unsupported locale is provided,StanFromIreland,2025-09-29T18:15:16Z,2025-09-30T15:56:26+00:00,1,21.69,False,33,2,3,99,3,1,4,CLOSED
139426,[3.14] gh-139436: Remove link to the PDF downloads (GH-139142),miss-islington,2025-09-29T17:59:32Z,2025-09-29T21:12:28+00:00,1,3.22,True,7,5,1,211,0,0,0,MERGED
139425,GH-123299: Copyedit 3.14 What's New: Other Language Changes,AA-Turner,2025-09-29T17:46:35Z,2025-10-02T14:51:48+00:00,22,69.09,True,181,159,1,403,3,8,11,MERGED
139419,Add type hints to Tools/patchcheck/patchcheck.py,Yassir-aykhlf,2025-09-29T14:29:16Z,2025-09-29T16:05:48+00:00,2,1.61,False,70,59,1,388,4,0,4,CLOSED
139413,[3.14] gh-139146: Check `calloc()` results in `_testembed.c::test_pre_initialization_sys_options` (GH-139147),miss-islington,2025-09-29T10:40:44Z,2025-09-29T12:04:47+00:00,1,1.4,True,10,0,1,198,0,0,0,MERGED
