number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
64222,refactor(devtools): visual separation between directives in the prope…,JeanMeche,2025-10-03T11:50:22Z,2025-10-03T15:05:52+00:00,1,3.26,False,21,34,11,65,1,1,2,CLOSED
64218,build: update all non-major dependencies (main),angular-robot,2025-10-03T05:09:02Z,2025-10-03T14:51:35+00:00,1,9.71,False,214,213,4,2471,1,0,1,CLOSED
64216,docs: add info about disabling request caching,JeanMeche,2025-10-02T23:28:17Z,2025-10-03T17:19:02+00:00,7,17.85,False,40,0,1,12,2,11,13,CLOSED
64214,refactor(forms): rename `Field` to `FieldTree`,mmalerba,2025-10-02T22:37:41Z,2025-10-03T14:59:33+00:00,3,16.36,False,107,107,15,404,3,0,3,CLOSED
64207,build: update dependency typescript to v5.9.3,mmalerba,2025-10-02T17:17:32Z,2025-10-02T20:48:44+00:00,2,3.52,False,496,489,47,80,1,0,1,CLOSED
64204,docs(docs-infra): keep file name visible when code block is hidden,MeAkib,2025-10-02T15:21:54Z,2025-10-02T17:30:49+00:00,2,2.15,False,11,16,2,1003,1,0,1,CLOSED
64202,docs(docs-infra): update styles to align checkbox with label,MeAkib,2025-10-02T13:05:14Z,2025-10-02T15:12:03+00:00,1,2.11,False,2,3,1,810,1,0,1,CLOSED
64197,test: fix vscode language service e2e tests,alan-agius4,2025-10-02T11:29:06Z,2025-10-02T20:03:27+00:00,2,8.57,False,177,183,15,82,2,0,2,CLOSED
64191,build: update all non-major dependencies (main),angular-robot,2025-10-02T05:08:15Z,2025-10-02T14:52:19+00:00,1,9.73,False,174,174,4,753,1,0,1,CLOSED
64188,refactor(forms): Add a lightweight DI token for Control,mmalerba,2025-10-01T21:51:51Z,2025-10-02T14:45:31+00:00,6,16.89,False,16,0,2,96,1,2,3,CLOSED
64187,build: update cross-repo angular dependencies to v21.0.0-next.6 (main)-,angular-robot,2025-10-01T21:37:55Z,2025-10-01T22:48:35+00:00,1,1.18,False,24,24,3,1793,2,0,2,CLOSED
64186,fix(migrations): preserve component imports when pruning NgModules in…,SkyZeroZx,2025-10-01T21:30:13Z,2025-10-02T20:54:17+00:00,1,23.4,False,437,3,2,1204,3,0,3,CLOSED
64183,docs: update website URL in license banners,alan-agius4,2025-10-01T19:59:28Z,2025-10-02T14:57:01+00:00,2,18.96,False,1,1,1,35,1,0,1,CLOSED
64182,build: update cross-repo angular dependencies to v20.2.7 (20.3.x),angular-robot,2025-10-01T19:37:41Z,2025-10-01T22:21:07+00:00,1,2.72,False,24,24,3,1255,1,0,1,CLOSED
64181,fix(core): handle undefined CSS time values in parseCssTimeUnitsToMs function,yyasinaslan,2025-10-01T19:02:34Z,2025-10-02T15:13:51+00:00,2,20.19,False,2,1,1,1099,1,0,1,CLOSED
64176,refactor(http): `HttpResponseBase.statusText`,JeanMeche,2025-10-01T15:21:49Z,2025-10-02T14:50:32+00:00,1,23.48,False,4,0,2,214,1,0,1,CLOSED
64174,docs: update Angular CLI help [main],angular-robot,2025-10-01T14:41:43Z,2025-10-01T17:13:53+00:00,2,2.54,False,6,1,2,34,1,0,1,CLOSED
