number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
1735,Add my first project,Tanvichovatiya,2025-09-27T17:46:05Z,2025-10-02T21:55:07+00:00,1,124.15,False,1698,2185,1,0,0,0,0,CLOSED
1720,Amit added his name,Amit-Mavinakatti,2025-09-14T06:58:25Z,2025-09-22T16:34:30+00:00,1,201.6,False,2,63,1,53,0,0,0,CLOSED
1719,updated title,Ankita562,2025-09-12T15:42:10Z,2025-09-22T16:25:01+00:00,1,240.71,False,1,1,1,29,0,0,0,CLOSED
1709,chore: clean up data.json labels and descriptions for clarity,philzee,2025-08-29T23:05:52Z,2025-09-03T16:30:51+00:00,1,113.42,False,29,58,1,415,0,0,0,CLOSED
1706,docs: add new beginner-friendly project LinkFree,prithi2004,2025-08-29T15:07:38Z,2025-09-03T16:33:49+00:00,1,121.44,False,7,0,1,112,1,0,1,CLOSED
1693,Light up the Word!,SaltCJ,2025-08-21T09:14:51Z,2025-09-22T16:29:13+00:00,1,775.24,False,10,0,1,0,1,0,1,CLOSED
1683,fix typo in data.json,choudaryhussainali,2025-08-13T15:08:44Z,2025-08-18T10:46:51+00:00,1,115.64,True,1,1,1,0,0,1,1,MERGED
1682,Update data.json,xRazvan78,2025-08-07T09:15:50Z,2025-10-02T22:03:46+00:00,1,1356.8,False,9,0,1,53,0,0,0,CLOSED
1680,Add DevPMK2025 to Contributors list,DevPMK2025,2025-08-06T13:15:11Z,2025-08-18T10:42:32+00:00,1,285.46,False,2,0,1,0,0,0,0,CLOSED
1675,Add DocsGPT to the list of projects for beginners,olagokemills,2025-08-03T09:27:08Z,2025-08-18T10:38:38+00:00,1,361.19,True,10,0,1,311,0,0,0,MERGED
1669,df,geekyuvi069,2025-07-20T19:27:57Z,2025-08-18T10:25:14+00:00,1,686.95,False,9,0,1,0,0,0,0,CLOSED
1661,Add my beginner project to awesome-for-beginners,viperrocks,2025-07-13T18:10:55Z,2025-08-18T10:27:30+00:00,1,856.28,False,1,0,1,46,0,0,0,CLOSED
1647,Added gsoc-dsa-preparation repo in C++ category,123diya-coder,2025-06-20T06:09:37Z,2025-06-27T18:36:50+00:00,1,180.45,False,11,1,1,83,1,0,1,CLOSED
