number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
17008,Add deprecation to website,rickhanlonii,2025-01-28T23:00:52Z,2025-02-14T19:02:07+00:00,1,404.02,True,18,4,2,141,7,0,7,MERGED
17003,"Deprecate Create React App officially by changing the README, and adding a message on init",orta,2025-01-24T11:17:57Z,2025-01-28T23:15:23+00:00,2,107.96,True,42,2,3,780,4,1,5,MERGED
13644,Update running-tests.md,Olexandr88,2024-08-09T04:32:09Z,2024-08-27T17:09:10+00:00,3,444.62,True,3,3,1,20,3,1,4,MERGED
12691,"docs: fix link of ""Building for Relative Paths""",jackblackevo,2022-08-25T18:58:09Z,2022-09-08T07:40:48+00:00,2,324.71,True,1,1,1,64,8,0,8,MERGED
12364,fix(babel-preset-react-app): add missing dependency,eventualbuddha,2022-05-04T18:34:15Z,2023-05-29T21:58:00+00:00,1,9363.4,True,265,253,2,207,10,0,10,MERGED
12238,updated template for react v18,GanapathyPT,2022-04-04T05:22:28Z,2022-04-14T17:04:38+00:00,1,251.7,False,19,13,3,121,3,0,3,CLOSED
12226,Update cra-template for react18,winterlood,2022-04-02T07:02:43Z,2022-04-26T05:42:27+00:00,1,574.66,False,8,6,2,123,1,1,2,CLOSED
12220,Update templates to use React 18 `createRoot`,kyletsang,2022-03-30T04:36:28Z,2022-04-08T22:04:15+00:00,2,233.46,True,81,17,5,112,10,1,11,MERGED
12148,Updated App.js,KrishnenduDG,2022-03-09T08:45:36Z,2022-10-12T19:29:25+00:00,1,5218.73,False,2,0,1,361,2,1,3,CLOSED
12113,docs: add homepage banner in support of Ukraine,dmitryvinn,2022-03-02T06:52:10Z,2022-03-02T18:52:52+00:00,1,12.01,True,52,0,2,267,3,0,3,MERGED
12051,Fix missing build error file paths,WesCossick,2022-02-11T21:50:10Z,2023-08-03T18:30:05+00:00,1,12908.67,False,2,0,1,999,0,2,2,CLOSED
11985,Ignore docs when publishing,iansu,2022-01-26T06:12:59Z,2022-01-27T16:38:25+00:00,1,34.42,True,2,0,1,71,0,0,0,MERGED
11932,Fix issue #11930 where mini css extract plugin was updated to new version,daviesgeek,2022-01-14T23:20:37Z,2022-01-17T20:20:13+00:00,3,68.99,False,2,2,2,426,4,2,6,CLOSED
11764,V5 add back support for node builtins,raix,2021-12-15T16:58:34Z,2023-04-03T10:25:58+00:00,21,11369.46,False,646,71,35,400,32,17,49,CLOSED
11763,V5 fix split chunks issue prod build,raix,2021-12-15T15:31:19Z,2023-04-03T10:25:58+00:00,6,11370.91,False,104,67,2,63,11,2,13,CLOSED
11739,Add swc transpilation behind a flag,raix,2021-12-10T21:12:37Z,2023-04-03T10:25:57+00:00,2,11485.22,False,1302,890,22,1229,14,1,15,CLOSED
11727,chore(lint): lint all files,lukekarrys,2021-12-08T00:33:14Z,2022-04-13T20:24:37+00:00,2,3043.86,False,239,176,58,417,0,0,0,CLOSED
11723,chore(test): make all tests install with `npm ci`,lukekarrys,2021-12-07T18:28:14Z,2021-12-08T18:40:54+00:00,5,24.21,True,23,61,10,244,1,1,2,MERGED
11717,Add support for Tailwind,iansu,2021-12-05T23:38:50Z,2021-12-14T05:47:34+00:00,3,198.15,True,657,343,4,82,15,2,17,MERGED
11686,[WIP] Fix integration test teardown / cleanup and missing yarn installation,raix,2021-11-27T11:54:35Z,2021-12-01T16:58:53+00:00,1,101.07,True,766,528,5,700,1,0,1,MERGED
11624,Update all dependencies,jd1048576,2021-11-05T15:34:52Z,2021-12-02T22:33:19+00:00,2,654.97,True,14467,25959,14,935,13,1,14,MERGED
11537,Update all dependencies,iansu,2021-10-10T21:24:39Z,2021-12-15T21:14:42+00:00,4,1583.83,False,2650,2234,12,175,3,3,6,CLOSED
11364,Bump immer from 8.0.4 to 9.0.6,dependabot,2021-09-03T07:23:05Z,2021-09-22T17:37:46+00:00,3,466.24,True,9,9,2,3421,20,1,21,MERGED
11347,Fix typos,KonstHardy,2021-08-31T21:12:49Z,2021-11-03T12:40:42+00:00,1,1527.46,False,695,696,8,370,0,0,0,CLOSED
11338,Upgrade jest and related packages from 26.6.0 to 27.1.0,krreet,2021-08-28T07:28:43Z,2021-09-22T22:47:16+00:00,8,615.31,True,6006,5407,13,135,7,3,10,MERGED
11325,allow CORS on webpack-dev-server,hasanayan,2021-08-19T20:43:44Z,2021-09-22T22:48:39+00:00,3,818.08,True,5,0,1,95,6,0,6,MERGED
11323,Bump url-parse from 1.4.7 to 1.5.3 in /docusaurus/website,dependabot,2021-08-18T17:27:40Z,2021-09-01T17:15:31+00:00,2,335.8,False,3,3,1,2450,1,0,1,CLOSED
11318,Migrate to webpack-dev-server to 4.0.0,th7nder,2021-08-18T10:49:33Z,2021-08-19T07:51:09+00:00,1,21.03,True,422,449,6,88,17,0,17,MERGED
11316,Update @pmmmwh/react-refresh-webpack-plugin to 0.5.0-rc.3,hasanayan,2021-08-17T22:37:11Z,2021-08-19T13:35:19+00:00,1,38.97,True,1,1,1,475,11,0,11,MERGED
11304,Use npm v7 with workspaces for local development and testing,lukekarrys,2021-08-11T15:37:39Z,2021-09-01T17:14:04+00:00,1,505.61,True,60115,10472,30,463,10,0,10,MERGED
11294,fix: resolve dependency issues in v5 alpha,merceyz,2021-08-07T14:52:58Z,2021-09-22T17:36:18+00:00,1,1106.72,True,11,5,3,235,7,0,7,MERGED
11292,fix: dependency issue after workbox-webpack-plugin 6.2 release,fguitton,2021-08-06T10:22:42Z,2021-08-18T17:26:18+00:00,1,295.06,True,1,1,1,249,4,0,4,MERGED
11253,Increase minimum node version to 14,iansu,2021-07-28T19:14:27Z,2021-07-30T06:28:16+00:00,1,35.23,False,21,24,14,49,1,0,1,CLOSED
11241,add module federation support,hasanayan,2021-07-23T14:27:55Z,2024-04-23T10:42:01+00:00,4,24116.24,False,77,9,8,984,13,1,14,CLOSED
11209,Fix: URL for code splitting,visshaljagtap,2021-07-15T04:06:54Z,2022-09-20T15:22:18+00:00,1,10379.26,False,1,1,1,14,1,0,1,CLOSED
11201,Webpack 5,raix,2021-07-12T11:58:10Z,2021-08-04T17:24:41+00:00,44,557.44,True,2999,76873,49,499,26,17,43,MERGED
11188,Deprecate root level template.json keys,mrmckeb,2021-07-07T17:36:00Z,2021-07-14T17:18:16+00:00,1,167.7,True,71527,11,2,270,0,0,0,MERGED
11164,Upgrade sass-loader to ^11.1.1,BrodaNoel,2021-06-30T17:12:52Z,2021-09-15T14:38:37+00:00,3,1845.43,False,1,1,1,534,2,1,3,CLOSED
11121,Update PostCSS version,mrmckeb,2021-06-18T13:54:00Z,2021-06-22T13:01:49+00:00,1,95.13,True,1,1,1,189,3,0,3,MERGED
11117,changed class attribute to className,rvigil24,2021-06-17T08:42:14Z,2021-07-07T15:44:50+00:00,1,487.04,False,1,1,1,73,2,1,3,CLOSED
11105,fix: fast refresh stops on needed bail outs,pmmmwh,2021-06-15T00:18:39Z,2021-07-14T17:19:49+00:00,1,713.02,True,19,5,1,1890,2,0,2,MERGED
11057,Coerce Node versions with metadata,mrmckeb,2021-06-05T09:39:46Z,2021-06-08T05:38:49+00:00,1,67.98,True,6,1,1,81,0,0,0,MERGED
10973,test(create-react-app): assert for exit code,jamesgeorge007,2021-05-16T19:14:11Z,2021-10-12T08:29:58+00:00,1,3565.26,True,24,6,1,94,1,0,1,MERGED
10961,[WP5] Webpack5 update,raix,2021-05-14T17:05:26Z,2021-05-28T07:33:00+00:00,4,326.46,True,432,401,31,1225,5,4,9,MERGED
10921,allow tsconfig to contain emitDeclarationOnly=true,entropitor,2021-05-05T13:45:26Z,2025-03-25T09:30:06+00:00,1,34075.74,False,5,1,1,852,17,1,18,CLOSED
10866,chore: Docusaurus with webpack 5,slorber,2021-04-23T13:34:59Z,2022-01-09T13:59:11+00:00,1,6264.4,False,2943,4121,3,466,4,0,4,CLOSED
10817,feat(eslint-config-react-app): support `eslint-plugin-testing-library` 4.x,MichaelDeBoey,2021-04-12T11:06:41Z,2021-12-25T01:00:30+00:00,4,6157.9,False,19,19,4,338,6,2,8,CLOSED
10797,Unpin babel dependencies,mohd-akram,2021-04-08T11:10:47Z,2021-05-30T15:10:23+00:00,3,1251.99,True,21,21,4,76,5,0,5,MERGED
10791,Bump immer version for fixing security issue,shamprasadrh,2021-04-07T13:12:52Z,2021-05-12T16:33:28+00:00,1,843.34,True,1,1,1,67,6,0,6,MERGED
10761,chore: migrate to @babel/eslint-parser,JLHwung,2021-03-29T19:55:57Z,2021-07-14T17:21:32+00:00,14,2565.43,True,17,13,7,89,7,5,12,MERGED
10748,Upgrade jest from 26.6.0 to 27.0.0-next.6,ankurkaushal,2021-03-25T20:08:17Z,2021-09-22T22:48:05+00:00,26,4346.66,False,16,14,13,27,45,5,50,CLOSED
10671,Fixed a typo,srinivasarajui,2021-03-10T04:54:55Z,2021-05-12T16:26:50+00:00,1,1523.53,False,1,1,1,62,2,0,2,CLOSED
10656,Webpack5 update [DRAFT],raix,2021-03-06T10:51:53Z,2021-05-14T17:06:00+00:00,2,1662.24,False,237,353,18,1042,11,2,13,CLOSED
10590,Upgrade eslint-webpack-plugin to fix opt-out flag,mrmckeb,2021-02-21T14:14:07Z,2021-02-22T16:39:06+00:00,1,26.42,True,2,2,2,612,0,0,0,MERGED
10584,react-dev-utils bump to immer 8.0.1,sandrogomez,2021-02-20T17:36:51Z,2021-02-20T19:10:13+00:00,1,1.56,False,1,1,1,112,2,0,2,CLOSED
10572,Add image optimization,sumanthratna,2021-02-17T19:44:44Z,2021-08-04T19:13:40+00:00,3,4031.48,False,59,1,8,364,1,1,2,CLOSED
10558,Fixed FAST_REFRESH behaviour issue #10539,haneenmahd,2021-02-15T11:40:46Z,2021-02-15T16:03:30+00:00,1,4.38,False,1,1,1,144,2,0,2,CLOSED
10556,Fix typo on readme,mrnossiom,2021-02-15T09:41:26Z,2021-05-12T16:25:54+00:00,5,2070.74,False,1,1,1,89,4,0,4,CLOSED
10543,Updated pace.js link,imdkbj,2021-02-12T08:00:15Z,2022-06-17T17:27:38+00:00,1,11769.46,True,1,1,1,20,2,1,3,MERGED
10542,docs: move '/api' from use() to createProxyMiddleware(),pradishb,2021-02-11T13:17:42Z,2021-07-07T15:44:48+00:00,1,3506.45,False,1,2,1,88,5,0,5,CLOSED
10511,Fix ICSS syntax in stylesheets,thabemmz,2021-02-05T14:29:26Z,2021-04-12T02:27:32+00:00,1,1571.97,True,8,0,1,1980,9,0,9,MERGED
10501,docs: Make hyperlink consistent,nvh95,2021-02-04T12:00:23Z,2022-06-17T17:36:52+00:00,2,11957.61,True,1,1,1,173,1,0,1,MERGED
10499,Remove ESLint verification when opting-out,mrmckeb,2021-02-04T09:35:42Z,2021-06-02T17:08:33+00:00,4,2839.55,True,6,3,1,180,1,1,2,MERGED
10459,fix type,musicq,2021-01-28T05:04:36Z,2022-06-17T17:35:37+00:00,1,12132.52,False,1,1,1,0,4,0,4,CLOSED
10408,Update production-build.md,duy-ce,2021-01-19T08:21:51Z,2021-01-20T18:16:41+00:00,1,33.91,False,1,1,1,0,0,0,0,CLOSED
10381,test(create-react-app): add integration tests,jamesgeorge007,2021-01-14T08:47:03Z,2021-05-12T18:08:18+00:00,3,2841.35,True,129,1,4,158,2,2,4,MERGED
10288,Upgrade docs http links to https,xom9ikk,2020-12-24T14:08:49Z,2021-04-12T02:30:30+00:00,1,2604.36,True,13,13,9,735,3,0,3,MERGED
10214,Remove references to Node 8,ianschmitz,2020-12-08T05:00:12Z,2020-12-14T21:38:32+00:00,1,160.64,True,2,4,2,70,0,0,0,MERGED
10202,Allow custom branch names,giovannibenussi,2020-12-05T04:34:55Z,2024-08-28T20:34:56+00:00,1,32704.0,False,27,8,2,1693,5,0,5,CLOSED
10170,Add opt-out for eslint-webpack-plugin,mrmckeb,2020-11-29T17:48:44Z,2021-02-03T18:45:02+00:00,6,1584.94,True,34,23,3,381,13,1,14,MERGED
10140,update broken pace.js link in document,takapiro99,2020-11-24T14:07:56Z,2020-11-25T04:41:31+00:00,1,14.56,False,1,1,1,308,4,0,4,CLOSED
10121,Add support for Webpack 5 message objects,jasonwilliams,2020-11-20T19:32:56Z,2021-05-30T12:56:57+00:00,1,4577.4,True,13,1,1,125,18,0,18,MERGED
10093,Fix typo in eslint jest plugin install command,dominicrico,2020-11-18T09:58:13Z,2020-12-25T15:10:52+00:00,1,893.21,False,1,1,1,0,3,0,3,CLOSED
10091,Recovered some integration tests,maxsbelt,2020-11-18T07:47:45Z,2020-12-08T04:46:42+00:00,5,476.98,True,27,22,8,432,6,2,8,MERGED
10081,Fix a typo in eslint-config-react-app README,kevin940726,2020-11-16T15:18:18Z,2020-11-20T02:11:41+00:00,1,82.89,False,1,1,1,66,1,0,1,CLOSED
10052,docs: add React Testing Library as a library requiring jsdom,anyulled,2020-11-10T09:48:05Z,2020-11-10T16:49:43+00:00,1,7.03,True,1,0,1,215,4,1,5,MERGED
10048,Increase Workbox's maximumFileSizeToCacheInBytes,jeffposnick,2020-11-09T21:10:29Z,2020-11-10T18:07:48+00:00,1,20.96,True,4,0,1,455,1,0,1,MERGED
