number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
84694,[Sema] Reject tuple extensions early when feature is disabled,hamishknight,2025-10-05T10:23:45Z,2025-10-05T19:53:37+00:00,1,9.5,True,44,17,16,341,4,0,4,MERGED
84693,Remove trailing spaces in Windows build docs,jakepetroules,2025-10-04T23:49:38Z,2025-10-05T09:51:05+00:00,1,10.02,True,1,1,1,89,2,0,2,MERGED
84680,SILOptimizer: Fix mandatory switch dispatch elimination for unreachable cases,tshortli,2025-10-03T22:02:05Z,2025-10-04T05:43:30+00:00,2,7.69,True,64,3,2,538,3,0,3,MERGED
84676,[SE-0495] Make sure we can find imported C functions for @c @implementation,DougGregor,2025-10-03T19:04:08Z,2025-10-04T04:42:01+00:00,2,9.63,True,52,31,10,441,9,1,10,MERGED
84674,[WinSDK] Modularize `<winapifamily.h>`,egorzhdan,2025-10-03T18:28:12Z,2025-10-05T14:49:59+00:00,1,44.36,True,5,0,1,154,9,0,9,MERGED
84667,[VariadicGenerics] Fix memeffect of metadata accessor call.,nate-chandler,2025-10-03T14:58:57Z,2025-10-04T10:01:51+00:00,1,19.05,True,47,10,3,269,5,0,5,MERGED
84666,[CS] Consolidate placeholder handling logic into `Solution::simplifyType` ,hamishknight,2025-10-03T14:47:49Z,2025-10-04T21:55:38+00:00,3,31.13,True,159,231,22,147,5,1,6,MERGED
84663,Fix 2 leftover rebranch warnings,AnthonyLatsis,2025-10-03T10:00:05Z,2025-10-03T21:02:02+00:00,1,11.03,True,7,4,2,257,4,1,5,MERGED
84662,DeadAllocElimination: fix a bug when promoting mark_dependence instructions,eeckstein,2025-10-03T08:41:38Z,2025-10-04T16:44:05+00:00,1,32.04,True,26,1,2,290,4,0,4,MERGED
84660,[6.2] [NFC] LifetimeDependence computeAddressRange comments and test case,atrick,2025-10-02T23:48:27Z,2025-10-04T12:16:36+00:00,1,36.47,True,127,3,4,1569,4,0,4,MERGED
84659,Sema: Fix a MemberImportVisibility regression in `resolveDeclRefExpr()`,tshortli,2025-10-02T23:36:57Z,2025-10-04T05:36:34+00:00,2,29.99,True,211,137,5,841,5,1,6,MERGED
84658,[Caching] Fix -access-note-path when using caching,cachemeifyoucan,2025-10-02T19:09:48Z,2025-10-03T03:26:47+00:00,1,8.28,True,46,0,2,83,1,0,1,MERGED
84656,[test] Add requires for embedded_stdlib for test that uses the stdlib,drodriguez,2025-10-02T17:41:54Z,2025-10-03T20:57:33+00:00,1,27.26,True,1,0,1,479,4,0,4,MERGED
84655,[IRGen] Correctly sext instead of zext for negative integer types,Azoy,2025-10-02T17:28:37Z,2025-10-04T16:18:03+00:00,5,46.82,True,28,3,2,112,2,1,3,MERGED
84654,[6.2][TypeChecker] Avoid checking lazy property accessors if they haven't …,xedin,2025-10-02T17:27:33Z,2025-10-03T15:54:56+00:00,1,22.46,True,28,0,3,574,2,0,2,MERGED
84649,Bridging: Fix typo-related bug in `isValid` property of `swift::Identifier`,kovdan01,2025-10-02T14:49:30Z,2025-10-02T23:19:22+00:00,2,8.5,True,1,1,1,98,3,0,3,MERGED
84641,LifetimeDependenceDiagnostics: extend temp alloc to unreachable.,atrick,2025-10-02T03:46:01Z,2025-10-05T02:48:16+00:00,4,71.04,True,127,3,4,576,8,2,10,MERGED
84640,[DiagnosticVerifier] Do not capture 'fatal error encountered' errors,j-hui,2025-10-02T01:18:51Z,2025-10-02T18:14:59+00:00,1,16.94,True,8,0,2,637,1,0,1,MERGED
84639,[Test][Serialization] Expand cp shorthand in incremental-imports test,ramonasuncion,2025-10-02T01:00:43Z,2025-10-02T18:00:39+00:00,1,17.0,True,2,2,1,24,2,0,2,MERGED
84638,[Test][Concurrency] Set MallocStackLogging with env,ramonasuncion,2025-10-02T00:57:22Z,2025-10-02T18:00:31+00:00,1,17.05,True,1,1,1,24,1,0,1,MERGED
84637,[Test][Concurrency] Clean up framework input paths in deinit_isolation_import test,ramonasuncion,2025-10-02T00:01:40Z,2025-10-02T18:00:14+00:00,1,17.98,True,4,5,1,24,1,0,1,MERGED
84635,[VariadicGenerics] Fix memeffect of metadata accessor.,nate-chandler,2025-10-01T22:44:43Z,2025-10-03T02:14:52+00:00,1,27.5,True,19,3,4,236,5,0,5,MERGED
84634,[AST] Remove UnresolvedType,hamishknight,2025-10-01T21:38:26Z,2025-10-03T14:42:02+00:00,2,41.06,True,95,144,32,86,3,0,3,MERGED
84627,[Test][ClangImporter] Split grouped touch commands into individual lines,ramonasuncion,2025-10-01T18:35:31Z,2025-10-02T18:37:48+00:00,1,24.04,True,17,7,1,24,1,0,1,MERGED
84625,[Serialization] Serialize isAddressable on param decls,Azoy,2025-10-01T18:06:50Z,2025-10-02T14:26:19+00:00,1,20.32,True,46,1,5,186,2,0,2,MERGED
84623,Address 3 TODOs adding examples to UTF8SpanIterators,valeriyvan,2025-10-01T16:31:39Z,2025-10-01T22:48:51+00:00,1,6.29,True,42,7,1,0,1,0,1,MERGED
84616,Fix typo in AtomicRepresentable.swift,valeriyvan,2025-10-01T16:08:47Z,2025-10-01T22:48:38+00:00,1,6.66,True,1,1,1,0,1,0,1,MERGED
84615,Fix typo in AtomicBool.swift,valeriyvan,2025-10-01T16:06:30Z,2025-10-01T22:48:22+00:00,1,6.7,True,3,3,1,0,1,0,1,MERGED
84608,[cxx-interop] Disable failing test on Android,susmonteiro,2025-10-01T11:55:30Z,2025-10-01T19:10:05+00:00,5,7.24,True,1,0,1,32,1,1,2,MERGED
84607,Set LIBLTO_PATH with env in lit.cfg,ramonasuncion,2025-10-01T03:30:30Z,2025-10-02T01:52:22+00:00,1,22.36,True,1,1,1,174,1,0,1,MERGED
84605,[Test][IDE] Replace process substitution with temp file for internal shell,ramonasuncion,2025-10-01T02:50:16Z,2025-10-02T01:54:04+00:00,1,23.06,True,4,2,2,253,2,0,2,MERGED
84604,[Test][IDE] Add env to frontend commands,ramonasuncion,2025-10-01T02:48:54Z,2025-10-02T01:55:11+00:00,1,23.1,True,4,4,1,24,1,0,1,MERGED
84598,Disable use-std-vector-typechecker.swift,justice-adams-apple,2025-09-30T19:53:43Z,2025-10-01T15:23:17+00:00,4,19.49,False,1,0,1,45,3,1,4,CLOSED
84595,Extend borrow accessor support,meg-gupta,2025-09-30T18:16:08Z,2025-10-03T18:14:49+00:00,1,71.98,True,2038,136,33,808,5,0,5,MERGED
84594,Fix malformed AST with property or subscript returning dynamic Self on an opened existential,slavapestov,2025-09-30T17:44:32Z,2025-10-01T20:16:21+00:00,1,26.53,True,72,19,3,409,7,0,7,MERGED
84590,[cxx-interop] Re-merge tests failing on Windows,susmonteiro,2025-09-30T15:22:08Z,2025-10-01T13:28:20+00:00,3,22.1,True,5,11,2,192,1,0,1,MERGED
84583,Rework lit.cfg regex to avoid basename subshell in substitution,ramonasuncion,2025-09-30T03:14:47Z,2025-09-30T22:10:33+00:00,2,18.93,True,11,8,1,295,5,1,6,MERGED
84580,[Macros] Pass a static build configuration to macro implementations,DougGregor,2025-09-30T01:47:56Z,2025-10-01T03:47:04+00:00,1,25.99,True,842,313,40,903,3,0,3,MERGED
84578,[Performance Hints] Add simple check for returning of values of array and dictionary type,artemcm,2025-09-30T00:18:59Z,2025-10-02T23:11:57+00:00,12,70.88,True,178,3,12,514,7,12,19,MERGED
84576,"Revert ""Merge pull request #82750 from tbkka/tbkka-swift-floatingpointtostring""",tbkka,2025-09-29T22:15:28Z,2025-09-30T06:39:50+00:00,1,8.41,True,3238,2648,12,108,3,0,3,MERGED
84570,[Test][InterfaceHash] Rewrite cp commands for Lit shell,ramonasuncion,2025-09-29T17:36:37Z,2025-10-01T17:04:00+00:00,2,47.46,True,26,26,13,166,2,1,3,MERGED
