number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
12122,fix(types): add drawingArea to RadialLinearScale,anshukushwaha07,2025-09-17T19:33:52Z,2025-09-19T08:46:12+00:00,2,37.21,True,1,0,1,749,0,0,0,MERGED
12121,docs: Add Subresource Integrity (SRI) examples for CDN security,brian-olson,2025-09-12T21:57:47Z,2025-09-19T16:57:40+00:00,1,163.0,False,31,0,1,1241,0,2,2,CLOSED
12120,fix(types): allow null for line chart point values (#12027),anshukushwaha07,2025-09-10T21:04:51Z,2025-09-16T17:24:08+00:00,6,140.32,True,2,2,1,908,0,2,2,MERGED
12118,Bump actions/setup-node from 4 to 5,dependabot,2025-09-08T02:02:34Z,2025-09-11T15:17:29+00:00,2,85.25,True,4,4,3,4068,1,0,1,MERGED
12099,Add data.datasets[].tooltip.callbacks to Typescript types,bojidar-bg,2025-07-11T12:35:49Z,2025-07-11T19:53:20+00:00,3,7.29,True,26,1,1,18,0,0,0,MERGED
12098,Do not notify plugins after their uninstall function has been called,bojidar-bg,2025-07-11T11:45:10Z,2025-07-12T16:29:51+00:00,2,28.74,True,32,1,2,345,0,0,0,MERGED
12097,Attempt fixing charts shrinking on certain zoom values in Chrome,bojidar-bg,2025-07-11T10:51:48Z,2025-07-11T19:38:17+00:00,2,8.77,True,6,6,2,442,1,0,1,MERGED
12096,Sync Doughnut chart legend options to legend plugin,bojidar-bg,2025-07-11T10:19:46Z,2025-07-11T19:52:33+00:00,2,9.55,True,67,19,2,224,0,0,0,MERGED
12088,Fix grammar typo: 'only draw line' -> 'only draw lines',ffdm,2025-06-11T18:05:58Z,2025-06-11T19:22:48+00:00,3,1.28,True,1,1,1,107,0,0,0,MERGED
12087,Fix minified URL for development builds in the docs,LeeLenaleee,2025-06-11T08:05:13Z,2025-06-11T19:21:55+00:00,1,11.28,True,1,1,1,16,0,0,0,MERGED
12084,fix: correct grammar in segment comments (an segment -> a segment),nakanoh,2025-06-08T01:42:20Z,2025-06-10T10:17:07+00:00,2,56.58,True,2,3,1,289,0,0,0,MERGED
12082,Update docs for Developers API,Jee-on,2025-06-01T11:10:21Z,2025-06-06T11:54:37+00:00,2,120.74,True,24,3,1,388,0,0,0,MERGED
12070,Fix: display stacked bar with multiple x-Axis,xavierleune,2025-05-07T13:29:21Z,2025-06-05T15:27:57+00:00,5,697.98,True,92,4,3,467,15,1,16,MERGED
12068,"Fix minor typo, missing period",lucasleung8,2025-04-24T21:34:28Z,2025-04-25T11:47:45+00:00,2,14.22,True,1,1,1,0,0,0,0,MERGED
12064,Document requirement of 'this' when calling tick formatters,joshkel,2025-04-16T16:05:01Z,2025-04-18T11:16:34+00:00,2,43.19,True,17,2,2,320,0,0,0,MERGED
12063,Add type definition for beforeEvent changed,joshkel,2025-04-15T21:38:37Z,2025-04-18T11:15:57+00:00,2,61.62,True,2,1,1,496,0,0,0,MERGED
12058,feature: make above/below colors in filler plugin work with pivoted line charts,FabTechAT,2025-04-14T09:47:15Z,2025-04-15T13:31:58+00:00,3,27.75,True,93,7,3,81,5,0,5,MERGED
12057,fix: respect dataset clipping area when filling line charts,adrianbrs,2025-04-13T00:45:16Z,2025-04-14T13:41:15+00:00,4,36.93,True,395,42,13,329,0,1,1,MERGED
12054,[fix] #12048 - Add selfJoin option for doughnut graphs,R2Jeu-prive,2025-04-02T14:51:31Z,2025-04-15T13:32:13+00:00,2,310.68,True,97,2,6,692,0,0,0,MERGED
