number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen
13,Modification of chat_with_github_ollama3 to load repostory only once,Vadiml1024,2024-05-23T00:47:11Z,2024-05-23T19:41:51+00:00,1,18.91
16,ArxivToolkit needs pypdf,ideal,2024-05-30T06:38:47Z,2024-05-31T02:13:21+00:00,1,19.58
17,Update requirements.txt add yfinance,xushun007,2024-06-02T09:43:14Z,2024-06-02T23:43:46+00:00,1,14.01
33,AI-Health-Fitness Agent,Madhuvod,2024-11-25T16:27:04Z,2024-12-01T09:04:43+00:00,3,136.63
36,project #3- llm hybrid search + RAG claude ,Madhuvod,2024-12-03T21:58:06Z,2024-12-05T17:17:47+00:00,1,43.33
73,Added AI Data visualisation agent with togetherAI + E2B code interpreter,Madhuvod,2025-01-01T23:10:43Z,2025-01-08T01:17:46+00:00,2,146.12
101,chore: update game_design_agent_team.py,eltociear,2025-01-25T15:47:18Z,2025-01-25T19:29:50+00:00,1,3.71
124,corrected the health_agent README.md command typo,malekai-gauntlet,2025-02-16T19:14:48Z,2025-02-25T21:31:42+00:00,1,218.28
126,NEW PROJ: AI Mental Health Crisis Navigator with AG2 Swarms (CAN MERGE),Madhuvod,2025-02-19T15:58:26Z,2025-02-27T04:43:32+00:00,1,180.75
158,Adding my Tutorial on Multi Agent System,Bipul70701,2025-03-24T21:29:41Z,2025-04-09T06:37:36+00:00,1,369.13
160,Software engineer agent,ShawneilRodrigues,2025-03-26T06:09:48Z,2025-04-13T18:18:04+00:00,1,444.14
168,Add Kaggle Challenge Solver AI Agent,MSNP1381,2025-03-28T22:55:02Z,2025-06-15T02:43:19+00:00,1,1875.8
170,Update ai_web_scrapper.py,study-cell,2025-03-29T09:54:09Z,2025-03-31T02:54:42+00:00,1,41.01
171,feature : multi-agent breakup recovery,priyanshm07,2025-03-29T11:33:17Z,2025-04-08T01:56:56+00:00,3,230.39
248,Add Project AI Speech Trainer,aminajavaid30,2025-06-20T14:52:04Z,2025-06-20T23:35:15+00:00,2,8.72
249,Added Tripcraft AI Project,mtwn105,2025-06-20T14:59:13Z,2025-06-20T23:27:24+00:00,1,8.47
252,Adding BeifongAI Project,arun477,2025-06-21T11:42:45Z,2025-06-22T01:39:48+00:00,1,13.95
253,Windows-Use,Jeomon,2025-06-21T17:43:23Z,2025-06-22T01:38:32+00:00,1,7.92
254,Fix: Correct O player prompt referring to X in Tic Tac Toe agent,abhaysingh1122,2025-06-22T07:48:47Z,2025-06-23T15:02:39+00:00,1,31.23
255,Fix/music generator audio playback,abhaysingh1122,2025-06-22T08:13:47Z,2025-06-29T02:41:33+00:00,2,162.46
280,Create python-package-conda.yml,Ahmad512272,2025-07-19T02:58:18Z,2025-07-19T07:36:22+00:00,1,4.63
284,Add Gpt Agent - Computer Automation to starter AI agents,codebanesr,2025-07-21T17:44:41Z,2025-08-01T03:05:35+00:00,1,249.35
294,Added await keyword when creating/destroying session object asynchronously,GauravSrivastava,2025-07-29T03:59:17Z,2025-08-05T22:42:57+00:00,1,186.73
317,Added the native mcp server,ArkVex,2025-08-24T22:01:51Z,2025-08-27T19:59:56+00:00,4,69.97
