number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
10584,test: enable interactive integration tests for windows,hritan,2025-10-06T11:24:18Z,2025-10-06T12:38:09+00:00,1,1.23,False,6,0,2,165,1,0,1,CLOSED
10520,Temporarily remove NPM integration tests till we resolve #10517,scidomino,2025-10-04T00:36:28Z,2025-10-05T15:37:32+00:00,1,39.02,True,2,12,1,156,1,0,1,MERGED
10514,Cleanup extension update logic,jakemac53,2025-10-03T22:06:39Z,2025-10-04T04:19:15+00:00,10,6.21,True,310,292,10,1160,2,5,7,MERGED
10489,fix(lint): Fixes silent pass for formatting mistakes in gh ci,abhipatel12,2025-10-03T15:39:58Z,2025-10-04T03:59:45+00:00,2,12.33,True,1,1,1,30,2,1,3,MERGED
10488,feat(lint): add sensitive keyword linter,skeshive,2025-10-03T15:29:20Z,2025-10-03T17:41:57+00:00,2,2.21,True,91,2,2,170,2,2,4,MERGED
10481,feat(vscode-ide-companion): enforce auth token validation,skeshive,2025-10-03T14:19:28Z,2025-10-03T15:51:26+00:00,3,1.53,True,19,15,2,400,2,1,3,MERGED
10453,refactor(core): Unify retry logic and remove schema depth check,SandyTao520,2025-10-02T22:32:06Z,2025-10-03T16:09:32+00:00,6,17.62,True,92,102,4,1187,1,3,4,MERGED
10451,feat(ci): Add some very basic smoke testing to CI.yml,richieforeman,2025-10-02T21:28:13Z,2025-10-03T14:58:54+00:00,1,17.51,True,69,0,2,620,2,0,2,MERGED
10449,fix(docs): several .md links in docs are incorrect,mbleigh,2025-10-02T20:42:17Z,2025-10-02T22:09:11+00:00,3,1.45,True,19,19,4,97,2,0,2,MERGED
10447,Add function processOutput to AgentDefinition and typing for an agent's output,silviojr,2025-10-02T20:36:15Z,2025-10-03T17:25:13+00:00,3,20.82,True,162,139,7,3507,3,3,6,MERGED
10438,chore/release: bump version to 0.9.0-nightly.20251002.0f465e88,gemini-cli-robot,2025-10-02T18:46:31Z,2025-10-02T20:18:55+00:00,1,1.54,False,15,15,7,43,2,0,2,CLOSED
10436,chore/release: bump version to 0.9.0-nightly.20251002.a6af7bbb,gemini-cli-robot,2025-10-02T18:34:59Z,2025-10-02T20:18:55+00:00,1,1.73,False,15,15,7,43,2,0,2,CLOSED
10427,Fix oauth support for MCP servers,jakemac53,2025-10-02T17:00:36Z,2025-10-03T16:33:59+00:00,8,23.56,True,195,47,2,1118,5,4,9,MERGED
10419,Modify GCLI system prompt to conditionally use the CodebaseInvestigator,silviojr,2025-10-02T15:17:25Z,2025-10-02T19:46:32+00:00,7,4.49,True,247,34,6,2177,3,4,7,MERGED
10416,feat(ide extension): introduce debug logging,skeshive,2025-10-02T14:55:14Z,2025-10-02T17:20:03+00:00,4,2.41,True,57,22,5,1646,2,4,6,MERGED
10415,Fix /chat list  not write terminal escape codes directly ,adamfweidman,2025-10-02T14:42:28Z,2025-10-02T23:00:54+00:00,5,8.31,True,170,98,7,272,2,3,5,MERGED
10388,Docs: Add changelog section,jkcinouye,2025-10-02T03:58:30Z,2025-10-02T19:38:32+00:00,1,15.67,True,97,0,2,162,3,0,3,MERGED
10379,"Change ""Create Pull Request"" action to not try merging",scidomino,2025-10-01T22:57:26Z,2025-10-02T22:09:11+00:00,1,23.2,True,6,5,2,346,1,0,1,MERGED
10378,fix(core): add telemetry support for smart edit correction events,agmsb,2025-10-01T22:30:37Z,2025-10-02T01:36:50+00:00,3,3.1,True,71,4,6,427,2,1,3,MERGED
10377,refactor(agents): implement submit_final_output tool for agent completion,abhipatel12,2025-10-01T21:53:55Z,2025-10-02T18:26:53+00:00,10,20.55,True,661,513,4,2228,3,7,10,MERGED
10372,fix(core): use constant for tool_output_truncated event name,jerop,2025-10-01T21:13:42Z,2025-10-02T17:00:16+00:00,4,19.78,True,5,2,3,901,2,1,3,MERGED
10371,test: fix flaky integration tests for compress command,hritan,2025-10-01T21:02:39Z,2025-10-03T19:44:10+00:00,3,46.69,True,6,11,2,304,1,1,2,MERGED
10369,fix(ci) update wording of promote action output to be more clear,skeshive,2025-10-01T21:01:31Z,2025-10-02T16:40:21+00:00,1,19.65,True,2,2,1,0,2,0,2,MERGED
10368,Fix(infra) - Give merge queue skipper read-all access,shishu314,2025-10-01T20:48:42Z,2025-10-02T17:25:32+00:00,2,20.61,True,1,0,1,507,1,0,1,MERGED
10367,fix: prevent tools discovery error for prompt-only MCP servers,vasayxtx,2025-10-01T20:36:38Z,2025-10-02T19:56:00+00:00,2,23.32,True,90,0,2,735,3,0,3,MERGED
10364,fix(infra) - Add pr number to the release branch name for final step of release,shishu314,2025-10-01T20:15:30Z,2025-10-02T18:38:39+00:00,6,22.39,True,48,29,1,818,2,3,5,MERGED
10360,support giving a github repo URL with a trailing slash,jakemac53,2025-10-01T19:13:57Z,2025-10-02T14:35:31+00:00,3,19.36,True,13,2,2,495,2,1,3,MERGED
10352,feat(ci): Add `npx run` testing to Release Verification Testing,richieforeman,2025-10-01T17:33:03Z,2025-10-02T15:31:14+00:00,3,21.97,True,20,2,1,261,2,2,4,MERGED
10348,feat(ci): add ability to publish packages to private github registry for testing,skeshive,2025-10-01T15:46:11Z,2025-10-03T15:56:06+00:00,16,48.17,True,133,16,3,1102,2,8,10,MERGED
10345,Smart Edit Strategy Logging,mrcabbage972,2025-10-01T15:12:38Z,2025-10-01T22:03:21+00:00,4,6.85,True,76,6,7,226,3,4,7,MERGED
10343,feat(telemetry): add OpenTelemetry GenAI semantic convention metrics,jerop,2025-10-01T14:43:28Z,2025-10-01T20:33:13+00:00,8,5.83,True,517,28,6,1779,3,6,9,MERGED
10339,fix: Stream parsing for Windows Zed integration,benbrandt,2025-10-01T13:13:31Z,2025-10-02T17:13:16+00:00,2,28.0,True,1,2,1,349,3,0,3,MERGED
10323,test: interactive test for read write tools sequential flow,hritan,2025-10-01T10:15:22Z,2025-10-01T16:58:36+00:00,7,6.72,True,86,1,2,260,1,3,4,MERGED
10310,Update `GOOGLE_CLOUD_PROJECT` in README for disambiguation,kuri-leo,2025-10-01T08:54:37Z,2025-10-02T21:34:13+00:00,3,36.66,True,1,1,1,458,1,0,1,MERGED
10290,feat(core): mitigate Flash API early chat bug & enable model router by default,abhipatel12,2025-10-01T04:38:58Z,2025-10-02T17:53:50+00:00,2,37.25,False,214,6,6,2278,3,1,4,CLOSED
10284,Print inputs for all actions.,scidomino,2025-10-01T02:29:21Z,2025-10-01T03:47:57+00:00,2,1.31,True,27,0,8,216,1,0,1,MERGED
10282,Codebase Investigator: Separate initial query from system prompt and apply templateStrings in query and initialMessages,silviojr,2025-10-01T02:11:34Z,2025-10-01T20:30:16+00:00,1,18.31,True,272,34,4,701,1,1,2,MERGED
10280,Switch to a reducer for tracking update state fixing flicker issues due to continuous renders,jacob314,2025-10-01T01:14:30Z,2025-10-01T22:01:19+00:00,20,20.78,True,597,359,13,1018,2,8,10,MERGED
10276,fix(auto-update): suppress npx nag for transient installs,ashmod,2025-09-30T23:29:46Z,2025-10-02T21:04:07+00:00,2,45.57,True,29,1,2,549,1,2,3,MERGED
10274,test: Auth integration tests,shrutip90,2025-09-30T22:46:41Z,2025-10-03T22:05:28+00:00,8,71.31,False,142,0,1,177,3,5,8,CLOSED
