number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
60116,lib: create util.log function,mertcanaltin,2025-10-03T23:53:41Z,2025-10-04T20:54:50+00:00,2,21.02,False,401,0,6,272,5,0,5,CLOSED
60115,test: mark `test-runner-run-watch` flaky on macOS,richardlau,2025-10-03T15:37:07Z,2025-10-05T16:23:10+00:00,2,48.77,True,2,0,1,142,5,0,5,MERGED
60113,tools: verify signatures when updating nghttp*,aduh95,2025-10-03T14:57:56Z,2025-10-05T15:02:17+00:00,4,48.07,True,12,7,3,226,2,0,2,MERGED
60103,process: fix wrong asyncContext under unhandled-rejections=strict,islandryu,2025-10-02T01:47:14Z,2025-10-04T02:12:19+00:00,5,48.42,True,30,1,2,353,5,0,5,MERGED
60101,deps: update OpenSSL to 3.5.4,nodejs-github-bot,2025-10-01T18:50:13Z,2025-10-03T19:00:46+00:00,4,48.18,False,1339,885,204,48,3,0,3,CLOSED
60096,meta: bump ossf/scorecard-action from 2.4.2 to 2.4.3,dependabot,2025-10-01T18:04:01Z,2025-10-04T13:40:00+00:00,3,67.6,True,1,1,1,3239,2,0,2,MERGED
60095,meta: bump actions/cache from 4.2.4 to 4.3.0,dependabot,2025-10-01T18:03:57Z,2025-10-04T13:39:52+00:00,2,67.6,True,1,1,1,3532,2,0,2,MERGED
60094,meta: bump step-security/harden-runner from 2.12.2 to 2.13.1,dependabot,2025-10-01T18:03:53Z,2025-10-04T13:39:43+00:00,3,67.6,True,1,1,1,2822,2,0,2,MERGED
60093,meta: bump actions/setup-node from 4.4.0 to 5.0.0,dependabot,2025-10-01T18:03:50Z,2025-10-04T13:39:35+00:00,3,67.6,True,14,14,12,3586,2,0,2,MERGED
60092,meta: bump actions/stale from 9.1.0 to 10.0.0,dependabot,2025-10-01T18:03:36Z,2025-10-04T13:39:27+00:00,3,67.6,True,2,2,2,3450,2,0,2,MERGED
60091,meta: bump codecov/codecov-action from 5.5.0 to 5.5.1,dependabot,2025-10-01T18:03:31Z,2025-10-03T18:52:46+00:00,3,48.82,True,3,3,3,5149,3,0,3,MERGED
60090,meta: bump actions/setup-python from 5.6.0 to 6.0.0,dependabot,2025-10-01T18:03:25Z,2025-10-05T05:25:55+00:00,3,83.38,True,14,14,10,4114,3,0,3,MERGED
60089,meta: bump github/codeql-action from 3.30.0 to 3.30.5,dependabot,2025-10-01T18:03:13Z,2025-10-03T18:52:35+00:00,3,48.82,True,4,4,2,7027,2,0,2,MERGED
60087,doc: remove optional title prefixes,avivkeller,2025-10-01T16:37:54Z,2025-10-05T16:23:01+00:00,4,95.75,True,4,4,2,128,3,0,3,MERGED
60082,console: allow per-stream `inspectOptions` option,addaleax,2025-10-01T12:31:38Z,2025-10-03T14:11:19+00:00,6,49.66,False,46,8,3,146,3,1,4,CLOSED
60080,doc: update macOS version used to build releases,targos,2025-10-01T07:23:26Z,2025-10-03T07:26:37+00:00,9,48.05,True,2,2,1,23,2,1,3,MERGED
60079,build: update minimum Xcode version to 16.4,targos,2025-10-01T07:17:11Z,2025-10-03T07:26:26+00:00,8,48.15,True,2,2,1,38,2,0,2,MERGED
60073,build: fix flags for ngtcp2 on IBM i,sravani1510,2025-09-30T16:54:39Z,2025-10-02T16:57:48+00:00,4,48.05,True,2,2,1,582,8,0,8,MERGED
