number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2609,Add support for WakaTime,akh7177,2025-10-05T10:30:30Z,2025-10-05T16:30:24+00:00,1,6.0,True,6,0,1,145,3,0,3,MERGED
2588,fix(ci): Use merge-base for correct target validation,shreyasNaik0101,2025-10-04T09:59:59Z,2025-10-05T16:49:58+00:00,4,30.83,True,31,10,1,599,7,2,9,MERGED
2558,feat: Add some popular website in Korea,hanjm-github,2025-09-30T15:52:47Z,2025-10-02T22:22:42+00:00,2,54.5,True,26,0,1,139,4,1,5,MERGED
2519,Added support for Tiktok,JadonDn,2025-08-22T06:06:25Z,2025-10-11T17:33:40+00:00,1,1211.45,False,8,0,1,102,1,0,1,CLOSED
2517,test: Add comprehensive edge case tests for core modules,cybersmeashish,2025-08-16T17:39:33Z,2025-09-14T02:46:36+00:00,1,681.12,False,1493,0,4,2709,4,0,4,CLOSED
2513,Add support for Plurk,akamayu-ouo,2025-08-09T14:15:24Z,2025-09-13T21:49:31+00:00,1,847.57,True,7,0,1,66,1,0,1,MERGED
2506,given a fresh look on readme page ,abshravan,2025-07-29T11:26:47Z,2025-07-29T20:01:16+00:00,9,8.57,False,98,81,1,71,7,3,10,CLOSED
2501,add: platzi.com,Davis-3450,2025-07-17T05:44:37Z,2025-09-14T21:24:49+00:00,1,1431.67,True,15,0,1,23,4,0,4,MERGED
2493,Fix Issue #2492 and #2494 | Added support for Pychess | Remove TorrentGalaxy ,MR-VL,2025-07-06T21:30:34Z,2025-09-14T01:21:00+00:00,1,1659.84,True,22,10,3,171,5,0,5,MERGED
2485,Add code sandboxio and hiveblog,manjushsh,2025-06-27T14:13:34Z,2025-10-06T17:30:10+00:00,4,2427.28,True,17,4,1,258,13,2,15,MERGED
2459,Fix Issue #2442: Added support for Aparat,kareemeldahshoury,2025-04-29T20:28:06Z,2025-09-21T00:47:37+00:00,2,3460.33,True,8,0,1,139,2,1,3,MERGED
2420,"Add 10 more websites to manage, clean JSON file",pylapp,2025-03-05T09:54:13Z,2025-09-14T06:28:33+00:00,1,4628.57,False,74,9,1,911,4,1,5,CLOSED
2419,Add support for Pronouns.page (#2418),Si-ddhartha,2025-03-04T07:41:19Z,2025-10-06T12:52:56+00:00,1,5189.19,True,6,0,1,69,12,0,12,MERGED
2404,Remove ask.fm + fix instagram  middleware,MR-VL,2025-02-05T03:27:09Z,2025-02-17T05:13:21+00:00,1,289.77,True,1,9,1,98,1,0,1,MERGED
2394,Add Bluesky Support,ibnaleem,2025-01-20T15:11:49Z,2025-02-03T04:48:46+00:00,1,325.62,True,7,0,1,1057,0,0,0,MERGED
2393,Fix PyPi URL,joeyagreco,2025-01-19T19:40:29Z,2025-02-03T04:32:43+00:00,1,344.87,True,1,0,1,513,0,0,0,MERGED
2383,Fix Strava false positives,brantonb,2024-12-26T02:25:12Z,2025-02-03T04:38:30+00:00,1,938.22,True,1,2,1,738,0,0,0,MERGED
2381,Add support for omg.lol,brantonb,2024-12-25T20:30:27Z,2025-02-03T04:42:42+00:00,1,944.2,True,8,0,1,591,0,0,0,MERGED
2376,Move version SSOT to pyproject.toml,bytexenon,2024-11-30T21:15:46Z,2025-09-17T21:51:42+00:00,1,6984.6,False,4,3,2,223,3,0,3,CLOSED
2372,aryan@07,Symbiote07,2024-11-26T19:10:02Z,2025-06-14T18:53:27+00:00,1,4799.72,False,35,13,2,41,0,2,2,CLOSED
2370,shashank@3540,Shashank-sketchAl,2024-11-20T10:53:13Z,2025-09-20T22:19:47+00:00,1,7307.44,False,94,27,2,24,1,0,1,CLOSED
