number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
7019,mindmap breaking issue in ELK layout,darshanr0107,2025-09-29T07:49:29Z,2025-09-30T09:15:36+00:00,4,25.44,True,66,2,3,606,5,2,7,MERGED
7001,Added Functionality for the development page,Raj4478,2025-09-26T10:12:17Z,2025-09-26T12:32:58+00:00,1,2.34,False,319,50,2,4450,4,1,5,CLOSED
6984,fix(er-diagram): handle syntax errors for special characters in node names,omkarht,2025-09-23T07:11:04Z,2025-09-29T08:47:50+00:00,5,145.61,True,191,4,4,945,5,1,6,MERGED
6950,Pre Release,shubhamparikh2704,2025-09-16T08:03:47Z,2025-09-16T10:48:55+00:00,1,2.75,True,29,4,4,0,3,0,3,MERGED
6945,6920: Fix Gantt chart crashes in Obsidian and browser,darshanr0107,2025-09-15T06:49:29Z,2025-09-16T16:01:06+00:00,2,33.19,True,38,1,3,787,5,0,5,MERGED
6944,6932:Fix mindmap rendering in docs and apply tidytree layout,darshanr0107,2025-09-15T06:33:17Z,2025-09-15T08:17:30+00:00,1,1.74,True,24,4,3,763,5,0,5,MERGED
6931,chore(deps): update dependency vite to v7.0.7 [security],renovate,2025-09-09T21:53:42Z,2025-09-15T08:35:49+00:00,1,130.7,True,1104,829,3,20056,5,0,5,MERGED
6930,Chore: Simplify editor selection to single version,rajat-ht,2025-09-09T16:51:09Z,2025-09-11T14:27:08+00:00,3,45.6,True,18,97,1,653,3,1,4,MERGED
6925,fix(deps): update all patch dependencies (patch),renovate,2025-09-08T00:54:53Z,2025-09-17T14:28:40+00:00,1,229.56,True,4006,5710,28,13281,6,0,6,MERGED
6905, 6780: treat newline characters as whitespace in class diagrams,darshanr0107,2025-08-29T13:54:42Z,2025-09-01T12:31:28+00:00,1,70.61,True,35,1,4,760,5,0,5,MERGED
6903,test: ensure YAML config takes precedence over initialize config in mermaidAPI,darshanr0107,2025-08-26T12:43:30Z,2025-08-29T06:33:17+00:00,3,65.83,True,237,2,1,726,5,1,6,MERGED
6902,Update Title FAQ based on latest info,matt-baker-agd-systems,2025-08-26T11:08:16Z,2025-09-01T12:43:20+00:00,1,145.58,True,2,2,2,109,6,0,6,MERGED
6898,feat: Add getUserDefinedConfig to merge init config and directives,darshanr0107,2025-08-25T10:52:28Z,2025-08-26T09:28:48+00:00,5,22.61,True,218,0,4,895,6,2,8,MERGED
6895,Docs(xychart): added plotcolorpalette example,shanti2530,2025-08-24T17:44:32Z,2025-09-03T11:03:08+00:00,1,233.31,True,73,2,2,771,6,1,7,MERGED
6887,docs(flowchart): fix image node documentation,omkarht,2025-08-21T13:58:08Z,2025-08-25T11:20:58+00:00,6,93.38,True,22,4,2,1153,5,1,6,MERGED
6886,6721: Correct rendering of bidirectional arrows with auto number,darshanr0107,2025-08-21T13:41:53Z,2025-08-21T16:07:45+00:00,1,2.43,True,39,1,3,776,5,0,5,MERGED
6855,fix: fallback to raw text instead of rendering *Unsupported markdown*,sidharthv96,2025-08-14T07:36:09Z,2025-08-14T11:13:09+00:00,1,3.62,True,41,2,4,687,5,1,6,MERGED
6854,Update elk layout to handle start/stop of edges properly for all shapes,darshanr0107,2025-08-13T08:23:40Z,2025-09-10T15:37:09+00:00,4,679.22,True,1304,528,12,702,11,1,12,MERGED
6849,"Make elk not force node model order, but strongly consider it instead",anderium,2025-08-13T00:30:53Z,2025-08-14T10:27:43+00:00,2,33.95,True,21,1,3,1007,7,0,7,MERGED
6847,Feat: Add editor selection A/B test,rajat-ht,2025-08-12T12:51:44Z,2025-08-13T16:25:19+00:00,4,27.56,True,136,60,1,632,3,1,4,MERGED
6846,chore: upgrade `unocss@66.4.2` and `@iconify/utils@3.0.1`,RSS1102,2025-08-12T11:47:05Z,2025-08-29T06:31:36+00:00,3,402.74,True,254,192,3,1283,8,1,9,MERGED
6839,refactor: remove unnecessary `Element` check since DOMPurify 3.2.2,aloisklink,2025-08-08T09:20:36Z,2025-08-08T13:20:19+00:00,2,4.0,True,2,2,1,855,5,0,5,MERGED
6838,Saurabh/fix-node-border-style-for-hand-drawn-shapes,saurabhg772244,2025-08-08T09:10:06Z,2025-08-08T13:13:22+00:00,3,4.05,True,20,0,2,1070,5,0,5,MERGED
6833,6611: Block diagram shows incorrect arrow direction,darshanr0107,2025-08-06T14:36:28Z,2025-08-08T07:35:28+00:00,1,40.98,True,22,4,3,797,6,0,6,MERGED
6826,6784: Fix edge ID styling mismatch with linkStyle color,darshanr0107,2025-08-06T06:55:34Z,2025-09-10T13:53:08+00:00,3,846.96,True,27,3,4,859,8,0,8,MERGED
6821,chore: run cspell on lint staged for markdown files,kriss-u,2025-08-05T02:00:23Z,2025-08-14T06:16:14+00:00,5,220.26,True,1,0,1,1120,5,2,7,MERGED
6820,fix: add classLiteral to the language for class diagram namespace,kriss-u,2025-08-04T22:29:38Z,2025-08-06T08:23:14+00:00,1,33.89,True,27,0,4,1031,7,0,7,MERGED
6807, Extract tidy-tree layout into separate package,darshanr0107,2025-08-01T08:08:03Z,2025-08-04T14:14:55+00:00,7,78.11,True,305,290,14,700,5,5,10,MERGED
6804,6691: update packet diagram to use new class-based DB approach,omkarht,2025-07-29T11:31:38Z,2025-07-30T13:49:33+00:00,1,26.3,True,69,58,5,1307,5,1,6,MERGED
6803,6774: update architecture diagram to reflect new class-based DB structure,omkarht,2025-07-29T09:52:41Z,2025-07-30T13:51:05+00:00,11,27.97,True,357,338,7,1452,5,6,11,MERGED
