number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
13544,Update pretrained_models.md,bharatjetti,2025-02-28T07:12:13Z,2025-04-29T03:57:36+00:00,1,1436.76,True,11,11,1,1422,0,0,0,MERGED
13543,tensorflow,KodeCharya,2025-02-27T06:03:11Z,2025-04-22T16:26:35+00:00,1,1306.39,False,38,0,7,1307,3,0,3,CLOSED
13537,Fix typo,khatchad,2025-02-21T17:48:39Z,2025-03-10T17:24:09+00:00,1,407.59,True,1,1,1,20,0,0,0,MERGED
13534,Fix tf-keras installation error,ceme393,2025-02-17T12:22:17Z,2025-02-18T17:05:56+00:00,1,28.73,True,2,2,1,1596,1,0,1,MERGED
13533,Add docstrings to clarify usage in tensorflow_models.,MayureshMore,2025-02-12T18:29:03Z,2025-02-17T21:28:18+00:00,1,122.99,False,4,0,2,151,1,0,1,CLOSED
13525,Update beta sampling code in augment.py,LakshmiKalaKadali,2025-01-30T17:16:58Z,2025-03-04T06:10:35+00:00,1,780.89,True,2,2,1,1711,0,0,0,MERGED
13523,Added source links to detr_r50_300epochs.sh file in   README.md,LakshmiKalaKadali,2025-01-20T09:03:57Z,2025-01-28T22:13:03+00:00,1,205.15,True,2,2,1,1487,0,0,0,MERGED
13513,Updated dataset version semantic_segmentation.ipynb,bharatjetti,2024-12-19T08:55:47Z,2025-03-05T04:52:31+00:00,1,1819.95,True,4,4,1,262,1,0,1,MERGED
11489,Typos fixed in instance_segmentation.ipynb,LakshmiKalaKadali,2024-11-28T09:10:35Z,2025-01-10T15:20:51+00:00,1,1038.17,True,5,5,1,1307,1,0,1,MERGED
11261,Switched YAMNet to stick with Keras 2.,plakal,2024-09-23T18:12:50Z,2024-09-24T16:08:15+00:00,1,21.92,True,4,2,2,1192,0,0,0,MERGED
11244,Fix bibtex citation in README.md,khatchad,2024-07-31T18:57:17Z,2024-10-14T17:35:26+00:00,1,1798.64,True,2,2,1,71,1,0,1,MERGED
11236,add Bharat and Lakshmikala to  bot_config.yml to assign github issues,laxmareddyp,2024-07-29T17:09:39Z,2024-08-01T18:24:20+00:00,1,73.24,True,2,0,1,98,0,0,0,MERGED
11219,fix contrast(),EIFY,2024-06-04T19:32:20Z,2025-01-07T17:54:11+00:00,3,5206.36,True,1,13,1,588,1,1,2,MERGED
11191,Object Detection using YOLOv7,sineeli,2024-04-17T21:11:01Z,2024-10-03T23:51:10+00:00,2,4058.67,True,821,0,1,579,2,0,2,MERGED
11187,loading a2 rather than a0,MustafaLotfi,2024-04-04T18:50:22Z,2024-10-23T18:06:53+00:00,2,4847.28,True,1,1,1,154,6,0,6,MERGED
11182,Update CODEOWNERS,laxmareddyp,2024-03-07T19:18:05Z,2024-04-10T18:55:22+00:00,1,815.62,True,6,6,1,536,0,0,0,MERGED
11178,Fixed Several Typos,Venkat6871,2024-03-01T07:44:33Z,2024-10-03T21:17:41+00:00,2,5197.55,True,14,13,11,123,1,0,1,MERGED
11176,Added a flag to allow skipping the first projection in small ResNets,laxmareddyp,2024-02-29T22:07:10Z,2024-10-03T14:45:20+00:00,1,5200.64,False,52,4,2,1434,0,0,0,CLOSED
11174,Updated model building blocks API links  in NLP Readme.md file to improve readability for users.,laxmareddyp,2024-02-29T19:17:29Z,2024-03-01T04:57:18+00:00,4,9.66,True,51,0,1,475,0,2,2,MERGED
11171,"Adding Backbones,Decoders,Heads API links to Readme.md file in vision folder for more readability of the document",laxmareddyp,2024-02-27T23:58:35Z,2024-02-28T23:14:39+00:00,1,23.27,True,37,0,1,472,0,0,0,MERGED
11170,Update Readme.md file for examples and tutorials related to NLP and Vision using TensorFlow Model Garden,laxmareddyp,2024-02-26T22:50:44Z,2024-02-27T20:49:49+00:00,2,21.98,True,11,0,1,472,0,0,0,MERGED
11160,Updating tf-models-nightly pip package version after every stable version release.,laxmareddyp,2024-02-12T19:33:30Z,2024-02-14T17:53:09+00:00,1,46.33,False,3,0,1,664,2,0,2,CLOSED
11156,RNGDet implementation,mjyun01,2024-02-07T08:55:26Z,2024-08-24T12:00:37+00:00,3,4779.09,False,0,0,0,1316,1,0,1,CLOSED
11152,Add eval summary argument to fix notebook breakage,sineeli,2024-01-29T19:46:48Z,2024-02-02T00:44:06+00:00,1,76.95,True,25,20,1,795,1,0,1,MERGED
11149,Bump pillow from 10.0.1 to 10.2.0 in /official/projects/rngdet,dependabot,2024-01-26T00:20:52Z,2024-01-29T23:24:53+00:00,1,95.07,True,1,1,1,6522,0,0,0,MERGED
11145,RNGDet implementation,mjyun01,2024-01-18T07:52:29Z,2024-01-26T00:19:31+00:00,1,184.45,True,3703,0,23,1323,2,0,2,MERGED
11137,Fixing typos,sushreebarsa,2023-12-30T10:05:52Z,2024-01-02T12:33:31+00:00,1,74.46,True,3,3,2,1307,0,0,0,MERGED
11126,Fixed typos,sushreebarsa,2023-12-06T05:59:26Z,2023-12-20T14:06:34+00:00,1,344.12,True,4,4,3,1307,1,0,1,MERGED
11122,tf2_utils_2x_wide.py cleanup,redwrasse,2023-12-01T07:27:00Z,2024-02-09T16:55:36+00:00,4,1689.48,True,52,24,2,1083,1,1,2,MERGED
11115,update dataset download links,sineeli,2023-11-20T23:29:20Z,2023-11-29T23:16:59+00:00,1,215.79,True,20,20,1,543,1,0,1,MERGED
11110,remove repo cloning and adjust folder paths,sineeli,2023-11-06T19:33:25Z,2023-11-08T23:49:24+00:00,1,52.27,True,46,74,1,607,1,0,1,MERGED
11107,Updating the doc by correcting typos,sushreebarsa,2023-10-31T04:38:08Z,2024-02-07T18:55:32+00:00,1,2390.29,False,4,4,4,1395,1,0,1,CLOSED
11100,Updated the TF doc by correcting typos,sushreebarsa,2023-10-20T05:38:22Z,2024-02-07T18:55:20+00:00,1,2653.28,False,5,5,1,1342,1,0,1,CLOSED
11094,docs: update link to `classification_example_test.py`,emmanuel-ferdman,2023-10-02T15:48:24Z,2023-12-06T19:29:11+00:00,1,1563.68,True,2,2,1,1329,0,0,0,MERGED
