number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
134425,Fix incorrect error messages,HirazawaUi,2025-10-05T16:45:34Z,2025-10-05T18:28:58+00:00,1,1.72,True,1,1,1,345,4,0,4,MERGED
134398,correct metrics function comments,humblec,2025-10-03T11:42:28Z,2025-10-03T20:32:57+00:00,1,8.84,True,10,10,6,18,10,1,11,MERGED
134387,Use a dedicated delete channel in HPA test,adrianmoisey,2025-10-02T19:28:32Z,2025-10-03T11:52:57+00:00,2,16.41,True,3,2,1,692,3,1,4,MERGED
134379,Lock all mutable fields when printing gc node,liggitt,2025-10-02T12:51:42Z,2025-10-02T18:40:56+00:00,1,5.82,True,8,1,1,444,4,0,4,MERGED
134377,upgrade to cos 121,upodroid,2025-10-02T11:43:28Z,2025-10-02T14:46:59+00:00,4,3.06,True,2,2,2,478,10,2,12,MERGED
134368,feat: add path normalization support to error matcher,aaron-prindle,2025-10-02T00:46:48Z,2025-10-04T00:00:58+00:00,1,47.24,True,200,9,2,747,8,0,8,MERGED
134364,Automated cherry pick of #134319: kubeadm: rework the FetchInitConfigurationFromCluster node flags,neolit123,2025-10-01T19:52:10Z,2025-10-02T07:40:57+00:00,2,11.81,True,82,42,11,430,3,0,3,MERGED
134363,Automated cherry pick of #134319: kubeadm: rework the FetchInitConfigurationFromCluster node flags,neolit123,2025-10-01T19:51:50Z,2025-10-02T07:40:57+00:00,2,11.82,True,82,42,11,430,3,0,3,MERGED
134362,Automated cherry pick of #134319: kubeadm: rework the FetchInitConfigurationFromCluster node flags,neolit123,2025-10-01T19:51:26Z,2025-10-02T07:40:57+00:00,2,11.83,True,82,42,11,430,4,0,4,MERGED
134360,Fix: Correct timestamp for node swap metrics,ajaysundark,2025-10-01T19:24:21Z,2025-10-03T16:34:58+00:00,1,45.18,True,40,1,2,739,10,0,10,MERGED
134355,Fix passing runtime.Object to HaveValidResourceVersion check,liggitt,2025-10-01T14:01:53Z,2025-10-01T17:12:17+00:00,2,3.17,True,1,1,1,456,8,0,8,MERGED
134347,"feat(validation-gen): Add ""cohorts"" & Tighten and simplify test framework",yongruilin,2025-10-01T06:48:43Z,2025-10-01T23:40:57+00:00,1,16.87,True,1968,956,77,917,10,0,10,MERGED
134340,DRA: ResourceSlice tracker cleanup,pohly,2025-09-30T06:33:51Z,2025-10-01T18:28:58+00:00,12,35.92,True,108,61,3,269,6,3,9,MERGED
134335,fix: update ResourceClaim field Effect to be marked +required (was +optional),aaron-prindle,2025-09-30T01:34:00Z,2025-09-30T17:04:50+00:00,1,15.51,False,27,6,11,502,5,1,6,CLOSED
134330,Add resource version comparison function in client-go along with conformance,michaelasp,2025-09-29T19:09:36Z,2025-10-01T03:58:17+00:00,25,32.81,True,623,19,44,3344,14,7,21,MERGED
134319,kubeadm: rework the FetchInitConfigurationFromCluster node flags,neolit123,2025-09-28T11:42:33Z,2025-09-30T16:14:33+00:00,9,52.53,True,82,41,11,1209,12,5,17,MERGED
134318,disruption: remove unused pdb parameter from getExpectedScale method,xigang,2025-09-28T09:44:57Z,2025-10-01T14:38:28+00:00,1,76.89,True,4,4,2,636,7,0,7,MERGED
134314,node_lifecycle_controller: fix ComputeZoneState method comment,xigang,2025-09-28T03:00:15Z,2025-09-29T18:30:25+00:00,1,39.5,True,2,1,1,393,7,0,7,MERGED
134312,fix resource claims deallocation for extended resource when pod is completed,alaypatel07,2025-09-27T21:16:09Z,2025-09-30T08:38:20+00:00,29,59.37,True,280,1,3,522,17,13,30,MERGED
134310,cluster/addons: update container images to latest versions,humblec,2025-09-27T17:45:40Z,2025-10-02T17:46:58+00:00,2,120.02,True,9,9,3,307,15,2,17,MERGED
134309,Update NPD to v1.34.0,hakman,2025-09-27T17:00:16Z,2025-09-28T02:38:17+00:00,1,9.63,True,10,10,5,366,5,0,5,MERGED
134308,fix(cordonhelper): Avoid mutating local node before API call,chizhang21,2025-09-27T16:31:43Z,2025-10-01T05:56:16+00:00,5,85.41,True,109,4,2,486,11,2,13,MERGED
134304,Update CSI sidecar container images in test manifest,humblec,2025-09-27T14:58:36Z,2025-10-02T20:00:57+00:00,4,125.04,True,20,18,5,254,10,5,15,MERGED
134302,feat(resource): Add validation for DeviceClass selectors and configs,lalitc375,2025-09-26T23:15:35Z,2025-10-03T01:30:56+00:00,17,146.26,True,460,55,15,820,11,7,18,MERGED
134295,Add desired_replicas gauge metric to HPA controller,omerap12,2025-09-26T12:48:45Z,2025-10-01T12:16:18+00:00,1,119.46,True,44,0,4,633,13,0,13,MERGED
134294,"Fix for incorrect activation of preemptor pod waiting for deletion of victim, plus integration test verifying the fix",ania-borowiec,2025-09-26T12:28:19Z,2025-10-03T10:38:58+00:00,17,166.18,True,195,15,2,1130,9,18,27,MERGED
134283,[InPlacePodVerticalScaling] refactor and increase coverage for pod resize tests,natasha41575,2025-09-25T19:16:40Z,2025-10-03T00:39:10+00:00,8,173.38,True,474,1091,2,1455,8,7,15,MERGED
134279,feat(validation-gen): Introduce k8s:customUnique to control listmap uniqueness,yongruilin,2025-09-25T17:43:56Z,2025-09-26T17:10:16+00:00,1,23.44,True,286,99,29,1024,4,0,4,MERGED
134278,Update SIG-Autoscaling Leads,raywainman,2025-09-25T17:28:11Z,2025-10-01T20:19:07+00:00,1,146.85,True,8,2,1,431,10,0,10,MERGED
134276,fix: add +enum tag to resource DeviceAllocationMode,aaron-prindle,2025-09-25T17:09:19Z,2025-09-30T14:14:34+00:00,5,117.09,True,15,6,4,550,11,1,12,MERGED
134274,kubeadm: use JoinHostPort for Waiter functions,neolit123,2025-09-25T16:50:28Z,2025-09-25T19:26:15+00:00,2,2.6,True,26,8,4,386,13,0,13,MERGED
134271,Add nil scheme check in GetReference,Jefftree,2025-09-25T14:29:54Z,2025-09-25T21:54:15+00:00,1,7.41,True,42,1,2,408,2,0,2,MERGED
134270,Automated cherry pick of #134265: kubeadm: ensure waiting for apiserver uses a local client,neolit123,2025-09-25T13:58:01Z,2025-09-26T07:22:19+00:00,2,17.41,True,78,38,10,393,11,0,11,MERGED
134269,Automated cherry pick of #134265: kubeadm: ensure waiting for apiserver uses a local client,neolit123,2025-09-25T13:57:43Z,2025-09-26T07:22:19+00:00,2,17.41,True,78,38,10,393,10,0,10,MERGED
134268,gce: Fix etcd manifest,joshjms,2025-09-25T13:05:52Z,2025-09-28T15:00:16+00:00,6,73.91,True,27,16,2,319,13,2,15,MERGED
