number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
2111,Bump vite from 6.2.6 to 6.3.4,dependabot,2025-04-30T19:36:09Z,2025-05-21T17:12:03+00:00,1,501.6,True,45,11,1,5290,1,0,1,MERGED
2100,Update README.md,MahmoodAlmur,2025-02-08T07:50:56Z,2025-02-08T09:56:53+00:00,1,2.1,False,1,1,1,17,0,1,1,CLOSED
2092,Bump astro from 4.13.1 to 4.16.1,dependabot,2024-10-14T20:13:46Z,2024-10-15T07:23:06+00:00,1,11.16,True,547,408,2,7562,0,0,0,MERGED
2083,Bump braces from 3.0.2 to 3.0.3,dependabot,2024-06-21T20:10:46Z,2024-08-20T13:32:03+00:00,1,1433.35,True,7,7,1,2089,4,0,4,MERGED
2060,fix typo,shillpi,2023-10-20T20:55:35Z,2023-10-21T04:12:58+00:00,1,7.29,True,1,1,1,0,0,0,0,MERGED
2058,Add more examples,shillpi,2023-10-20T20:35:39Z,2023-10-21T04:16:08+00:00,1,7.67,True,6,0,1,0,0,0,0,MERGED
2056,fix git syntax,shillpi,2023-10-20T20:20:13Z,2023-10-21T04:15:15+00:00,1,7.92,True,1,1,1,0,0,0,0,MERGED
2049,Cleaning up grammar in 5-tips-for-better-pull-requests.md,shillpi,2023-10-18T18:33:49Z,2023-10-19T06:07:15+00:00,1,11.56,True,1,1,1,0,0,0,0,MERGED
2045,Added method that returns value from nested and untested object,Shubhamjatara,2023-10-13T21:07:05Z,2023-10-24T07:03:03+00:00,1,249.93,False,57,0,1,87,0,0,0,CLOSED
2040,Bump postcss from 8.4.30 to 8.4.31,dependabot,2023-10-08T04:04:44Z,2023-10-08T08:47:23+00:00,1,4.71,True,5,5,1,1985,0,0,0,MERGED
2025,Fix unnecessary parameters in Queue class method and elaborated on explanation,kevinweejh,2023-09-28T02:48:52Z,2023-09-28T06:38:11+00:00,1,3.82,True,3,3,1,443,0,0,0,MERGED
2020,refactor: modify condition based on es2020,mohanadft,2023-09-27T14:13:28Z,2023-09-29T07:25:52+00:00,1,41.21,True,2,2,1,62,1,0,1,MERGED
2017,footer space style fix,surajsinghgore,2023-09-25T13:21:20Z,2023-09-27T17:13:26+00:00,1,51.87,True,1,1,1,54,0,0,0,MERGED
2016,Issue #2015 Fix typo in event loop explanation,kevinweejh,2023-09-25T07:27:21Z,2023-09-25T08:38:42+00:00,1,1.19,True,1,1,1,202,0,0,0,MERGED
2004,Added a python snippet to check if a number is an Armstrong number,Pranav-AJ,2023-09-12T17:16:48Z,2023-09-29T07:44:47+00:00,2,398.47,False,38,0,1,0,1,1,2,CLOSED
2003,Add target-sum-in-list,ritin0204,2023-09-12T09:28:44Z,2023-10-06T06:53:36+00:00,1,573.41,False,50516,23,1859,0,1,0,1,CLOSED
1975,Update README.md . Block quote not matching 30secondsofcode website's heading.,Clancy123,2023-08-12T15:04:49Z,2023-08-16T06:48:56+00:00,1,87.74,True,1,1,1,280,0,0,0,MERGED
1962,Added new python snippet,sa-qib,2023-07-13T04:10:26Z,2023-09-29T10:28:54+00:00,2,1878.31,False,21,0,1,0,3,2,5,CLOSED
1953,Added is-even-bitwise.md,Agnik7,2023-06-18T11:06:56Z,2023-08-28T12:35:23+00:00,1,1705.47,False,36,0,1,97,2,0,2,CLOSED
1949,Fixes Typo,ARYASINGHBJC,2023-06-06T15:06:48Z,2023-06-06T17:28:34+00:00,1,2.36,True,1,1,1,0,0,0,0,MERGED
