number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
20890,docs: correct `WebSocket` spelling,iiio2,2025-10-04T12:31:17Z,2025-10-05T01:55:41+00:00,1,13.41,True,4,4,4,98,2,0,2,MERGED
20887,fix(dev): remove timestamp query consistently,sapphi-red,2025-10-03T05:49:59Z,2025-10-03T09:52:40+00:00,3,4.04,True,17,19,1,1773,0,1,1,MERGED
20883,fix(css): respect emitAssets when cssCodeSplit=false,lucalooz,2025-10-02T15:56:48Z,2025-10-03T09:53:29+00:00,2,17.94,True,11,1,1,332,0,0,0,MERGED
20872,fix(glob): fix HMR for array patterns with exclusions,abbasyed,2025-10-02T00:58:52Z,2025-10-02T05:43:27+00:00,1,4.74,True,78,14,5,2981,0,0,0,MERGED
20871,docs(create-vite): mention oxc in React templates,ArnaudBarre,2025-10-01T22:56:36Z,2025-10-02T03:01:48+00:00,2,4.09,True,3,3,2,0,0,0,0,MERGED
20870,feat(create-vite): bump TS to 5.9,ArnaudBarre,2025-10-01T22:55:24Z,2025-10-02T04:42:56+00:00,2,5.79,True,8,8,8,107,0,0,0,MERGED
20866,fix(dev): skip JS responses for document requests,sapphi-red,2025-10-01T06:26:12Z,2025-10-02T03:39:54+00:00,5,21.23,True,32,1,3,36,7,1,8,MERGED
20856,chore: replace `tseslint.config` with `defineConfig`,9romise,2025-09-29T07:01:59Z,2025-09-30T01:45:04+00:00,1,18.72,True,2,1,1,73,0,0,0,MERGED
20855,fix(deps): update all non-major dependencies,renovate,2025-09-29T02:36:51Z,2025-09-30T07:45:32+00:00,1,29.14,True,653,511,34,19394,0,0,0,MERGED
20854,chore(deps): update rolldown-related dependencies,renovate,2025-09-29T02:36:15Z,2025-09-30T07:36:54+00:00,1,29.01,True,106,86,4,5850,0,0,0,MERGED
20847,fix(css): improve url escape characters handling,ia319,2025-09-26T18:05:28Z,2025-10-02T04:43:22+00:00,5,130.63,True,12,3,2,1239,1,5,6,MERGED
20837,fix(server): drain stdin when not interactive,thatguystone,2025-09-25T00:03:13Z,2025-09-30T23:52:08+00:00,2,143.82,True,6,0,1,147,4,0,4,MERGED
20830,fix(server): improve malformed URL handling in middlewares,copilot-swe-agent,2025-09-24T01:49:43Z,2025-09-25T00:42:24+00:00,2,22.88,True,63,13,8,4260,2,0,2,MERGED
20826,fix(create-vite): fix installing dependencies,nicolo-ribaudo,2025-09-23T10:43:50Z,2025-09-23T14:00:06+00:00,5,3.27,True,6,5,1,1789,4,2,6,MERGED
20821,fix(create-vite): use shorter command name for `run dev` for each package manager,sapphi-red,2025-09-23T03:45:04Z,2025-09-23T04:46:33+00:00,1,1.02,True,24,12,1,839,2,0,2,MERGED
20819,fix(create-vite): stop process when Ctrl+C is pressed,sapphi-red,2025-09-23T03:27:03Z,2025-09-23T04:45:55+00:00,1,1.31,False,5,1,1,149,2,1,3,CLOSED
20814,docs(rolldown): recommend pinning the version,sapphi-red,2025-09-22T12:34:40Z,2025-09-23T01:49:50+00:00,2,13.25,True,6,0,1,28,0,1,1,MERGED
20811,fix(deps): update all non-major dependencies,renovate,2025-09-22T00:47:53Z,2025-09-22T03:06:08+00:00,1,2.3,True,348,376,17,14126,0,0,0,MERGED
20810,chore(deps): update rolldown-related dependencies,renovate,2025-09-22T00:47:24Z,2025-09-23T05:26:18+00:00,1,28.65,True,95,284,4,11760,1,0,1,MERGED
20808,fix: keep ids for virtual modules as-is,sapphi-red,2025-09-20T13:03:53Z,2025-10-01T11:46:32+00:00,3,262.71,True,27,1,4,612,3,1,4,MERGED
20806,fix(create-vite): support deno create command,PTPhongKMF,2025-09-20T07:00:22Z,2025-09-22T03:25:14+00:00,3,44.41,True,12,5,1,657,2,0,2,MERGED
20801,chore: ensure `@vitejs/` scope for private packages names,hi-ogawa,2025-09-19T05:31:25Z,2025-09-20T13:00:45+00:00,4,31.49,True,14,14,7,760,2,2,4,MERGED
20800,fix(glob): handle glob imports from folders starting with dot,copilot-swe-agent,2025-09-19T05:27:42Z,2025-09-20T11:01:06+00:00,8,29.56,True,21,6,4,2494,0,3,3,MERGED
20798,docs: fix `buildApp` type mismatch in code example,serhalp,2025-09-18T17:15:32Z,2025-09-19T00:59:23+00:00,1,7.73,True,1,1,1,107,0,0,0,MERGED
20797,feat(create-vite): add `--interactive` / `--no-interactive`,sapphi-red,2025-09-18T06:15:31Z,2025-09-22T11:16:07+00:00,2,101.01,True,122,77,2,134,0,1,1,MERGED
20795,ci: disable pnpm cache when publishing,sapphi-red,2025-09-18T05:26:30Z,2025-09-18T08:06:24+00:00,2,2.67,True,1,1,1,85,0,0,0,MERGED
20794,ci: avoid interpolation,sapphi-red,2025-09-18T05:23:33Z,2025-09-18T08:06:42+00:00,1,2.72,True,13,5,2,92,0,0,0,MERGED
20791,fix(client): use CSP nonce when rendering error overlay,thatguystone,2025-09-17T23:32:52Z,2025-09-18T04:24:25+00:00,1,4.86,True,11,9,2,142,4,0,4,MERGED
20787,fix(build): fix ssr environment `emitAssets: true` when `sharedConfigBuild: true`,hi-ogawa,2025-09-17T09:25:22Z,2025-09-18T08:16:42+00:00,3,22.86,True,73,1,4,199,4,1,5,MERGED
20786,ci: disallow installation scripts before publish,sapphi-red,2025-09-17T08:50:06Z,2025-09-18T09:24:52+00:00,1,24.58,True,16,2,3,175,4,0,4,MERGED
20785,test: remove redundant `ssr: true` in playground/environment-react-ssr,hi-ogawa,2025-09-17T06:02:26Z,2025-09-18T03:38:12+00:00,1,21.6,True,0,5,1,72,0,0,0,MERGED
20783,fix(create-vite): unique name for tanstack router options,TheAlexLichter,2025-09-16T11:37:11Z,2025-09-17T02:15:04+00:00,2,14.63,True,2,2,1,142,0,0,0,MERGED
20773,fix(deps): update all non-major dependencies,renovate,2025-09-15T01:10:38Z,2025-09-15T07:02:22+00:00,2,5.86,True,363,354,28,13902,0,0,0,MERGED
20772,chore(deps): update rolldown-related dependencies,renovate,2025-09-15T01:10:13Z,2025-09-15T06:00:24+00:00,1,4.84,True,42,241,4,5271,0,0,0,MERGED
20768,fix(hmr): trigger prune event when import is removed from non hmr module,hi-ogawa,2025-09-14T08:29:46Z,2025-09-22T03:59:12+00:00,4,187.49,True,35,1,8,727,2,1,3,MERGED
20761,fix(esbuild): inject esbuild helper functions with minified `$` variables correctly,james-od,2025-09-13T10:17:31Z,2025-09-13T13:53:49+00:00,3,3.6,True,60,24,2,1515,0,2,2,MERGED
