number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
30909,fix(webgpu): crash after isolate disposal,devsnek,2025-10-03T07:33:09Z,2025-10-04T05:53:24+00:00,1,22.34,True,49,60,2,363,0,0,0,MERGED
30907,fix(ext/node): omit `smi` from `zlib.crc32` op function,Tango992,2025-10-03T06:04:58Z,2025-10-03T20:57:30+00:00,1,14.88,True,10,2,2,13,2,0,2,MERGED
30906,chore(release): verify `deno_docker` release is successful,littledivy,2025-10-03T04:59:05Z,2025-10-03T15:30:54+00:00,1,10.53,True,1,0,1,0,0,0,0,MERGED
30904,fix(check): do not error for unsupported URL schemes,dsherret,2025-10-02T22:56:33Z,2025-10-03T01:34:53+00:00,3,2.64,True,60,10,10,13,0,1,1,MERGED
30903,2.5.3,denobot,2025-10-02T20:43:00Z,2025-10-03T02:05:24+00:00,1,5.37,True,167,142,52,278,0,0,0,MERGED
30902,feat(unstable): permission broker - support custom error messages,dsherret,2025-10-02T19:15:04Z,2025-10-02T20:27:54+00:00,2,1.21,True,31,11,5,127,0,1,1,MERGED
30901,chore(cli): new error message for missing dependency,nayeemrmn,2025-10-02T16:38:31Z,2025-10-02T18:15:55+00:00,1,1.62,True,41,41,24,0,0,0,0,MERGED
30896,fix(tunnel): prevent auth subprocess loop with tasks,crowlKats,2025-10-02T13:30:23Z,2025-10-03T14:16:12+00:00,2,24.76,True,8,1,1,0,0,0,0,MERGED
30895,fix(clean): do not panic on failure to get local cache path in clean --except,nathanwhit,2025-10-01T21:25:54Z,2025-10-01T22:41:14+00:00,1,1.26,True,30,16,1,0,0,0,0,MERGED
30894,feat(unstable): support named pipes on Windows for the permission broker,dsherret,2025-10-01T21:05:27Z,2025-10-02T19:11:25+00:00,4,22.1,True,398,86,6,89,0,3,3,MERGED
30893,fix(dts): update some GPU types to not cause errors in upcoming DOM type declarations,dsherret,2025-10-01T18:27:56Z,2025-10-01T20:34:43+00:00,2,2.11,True,96,36,4,40,0,1,1,MERGED
30885,fix(ext/node): fs.realpath buffer encoding,Tango992,2025-09-30T15:21:04Z,2025-10-04T03:16:26+00:00,1,83.92,True,54,15,3,129,0,0,0,MERGED
30882,fix(ext/node): inspect X509Certificate class,Tango992,2025-09-30T14:16:39Z,2025-10-03T08:19:57+00:00,2,66.06,True,154,1,5,12,0,1,1,MERGED
30877,fix: do not purge lockfile when linking and the linked package's reqs have not changed,dsherret,2025-09-30T01:41:32Z,2025-09-30T18:31:48+00:00,2,16.84,True,37,39,5,25,0,1,1,MERGED
30876,fix(fs): improve file stat checks,dsherret,2025-09-29T22:57:27Z,2025-09-30T00:28:07+00:00,1,1.51,True,42,4,3,0,0,0,0,MERGED
30875,fix(npm): do not error when packument version contains both bundleDependencies and bundledDependencies,dsherret,2025-09-29T14:49:40Z,2025-09-29T21:45:42+00:00,1,6.93,True,11,9,3,36,0,0,0,MERGED
30872,fix(fs): improve file utime checks,dsherret,2025-09-29T13:48:51Z,2025-09-29T22:56:38+00:00,1,9.13,True,103,12,7,45,0,0,0,MERGED
30868,feat: add support for passing v8 flags on `deno check`,Tango992,2025-09-29T05:57:56Z,2025-09-30T21:26:10+00:00,1,39.47,True,23,0,1,0,0,0,0,MERGED
