number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
17986,Update translation.json (pt-BR),joaoback,2025-10-02T02:06:59Z,2025-10-02T06:30:04+00:00,3,4.38,True,18,18,1,2867,1,0,1,MERGED
17985,0.6.33,tjbck,2025-10-02T01:51:29Z,2025-10-03T23:06:14+00:00,2,45.25,False,1797,756,68,0,1,2,3,CLOSED
17873,feat: refactor prompts import to a single backend endpoint for massive speedup,silentoplayz,2025-09-28T23:47:21Z,2025-09-29T05:28:46+00:00,2,5.69,False,121,33,3,3391,1,1,2,CLOSED
17871,feat: move JSON model import to backend for massive speedup,silentoplayz,2025-09-28T22:34:03Z,2025-09-29T00:25:40+00:00,2,1.86,True,112,32,3,3615,2,1,3,MERGED
17848,Feat/chore: Add warning for conflicting group permissions / Refactored Permissions.svelte,Classic298,2025-09-28T14:58:26Z,2025-09-29T04:51:52+00:00,4,13.89,True,449,315,4,1524,5,4,9,MERGED
17837,feat: Impelement Milvus multitenancy // breaking: set milvus multitenancy as standard option (just like Qdrant already is),Classic298,2025-09-28T09:13:13Z,2025-09-29T05:29:35+00:00,2,20.27,True,314,5,4,2768,5,1,6,MERGED
17812,fix: truncate long names in delete confirmation modals,silentoplayz,2025-09-27T03:13:08Z,2025-09-27T21:30:33+00:00,5,18.29,True,6,6,5,2604,1,2,3,MERGED
17747,0.6.31,tjbck,2025-09-25T17:08:45Z,2025-09-25T20:28:06+00:00,1,3.32,True,7550,2554,167,0,3,3,6,MERGED
17721,fix: Use generic filename for downloaded images,Classic298,2025-09-24T19:40:03Z,2025-09-25T07:02:19+00:00,2,11.37,True,16,10,2,615,1,1,2,MERGED
17559,feat: load data in parallel to accelerate page loading speed,ShirasawaSama,2025-09-18T10:57:31Z,2025-10-02T18:06:54+00:00,5,343.16,True,86,53,1,2822,3,2,5,MERGED
17496,feat: Dynamically load katex to improve first-screen loading speed (-630KB),ShirasawaSama,2025-09-17T04:13:14Z,2025-09-17T06:36:55+00:00,1,2.39,True,16,6,2,2941,2,1,3,MERGED
17420,0.6.29,tjbck,2025-09-12T22:36:49Z,2025-09-17T16:32:59+00:00,2,113.94,True,8702,4543,270,0,0,2,2,MERGED
17250,UPD: Unified_use_hightlight.js,rgaricano,2025-09-06T21:36:11Z,2025-09-20T09:29:11+00:00,10,323.88,False,544,596,8,782,29,5,34,CLOSED
17118,i18n: Updated the Chinese language,aREversez,2025-09-01T11:22:04Z,2025-09-03T09:23:45+00:00,32,46.03,False,135,135,1,2438,11,27,38,CLOSED
17070,0.6.27,tjbck,2025-08-31T09:33:43Z,2025-09-09T14:34:15+00:00,2,221.01,True,5264,1920,168,0,0,2,2,MERGED
16859,0.6.26,tjbck,2025-08-23T17:51:23Z,2025-08-28T10:40:19+00:00,3,112.82,True,2595,1386,113,0,0,3,3,MERGED
16783,FEAT: highContrastMode implemented in chat messages,sinejespersen,2025-08-21T10:53:41Z,2025-08-22T09:22:09+00:00,2,22.47,True,35,17,2,2382,1,1,2,MERGED
16779,Fix: Free VRAM memory when updating embedding / reranking models,mahenning,2025-08-21T09:03:23Z,2025-08-21T17:38:38+00:00,3,8.59,True,53,24,2,2844,2,1,3,MERGED
16683,i18n: improve zh-cn translation,ShirasawaSama,2025-08-17T07:13:56Z,2025-08-18T10:36:01+00:00,11,27.37,True,90,90,1,2928,2,3,5,MERGED
16621,i18n: update kabyle translation,BoFFire,2025-08-14T13:58:26Z,2025-08-14T20:57:10+00:00,1,6.98,False,721,721,1,2326,5,0,5,CLOSED
16602,i18n: internationalize more strings throughout the codebase (part 2),silentoplayz,2025-08-14T02:22:17Z,2025-08-14T09:28:49+00:00,13,7.11,False,3171,110,106,2402,8,8,16,CLOSED
16509,i18n: Improve zh-CN translation,ShirasawaSama,2025-08-12T04:11:06Z,2025-08-12T17:33:12+00:00,9,13.37,True,24,24,1,2927,2,6,8,MERGED
16507,0.6.23,tjbck,2025-08-11T23:49:03Z,2025-08-21T18:21:10+00:00,4,234.54,True,11870,4921,204,0,0,6,6,MERGED
16392,feat: OAUTH_SUB_CLAIM_OVERRIDE,Ithanil,2025-08-08T18:17:12Z,2025-08-08T20:46:52+00:00,1,2.49,False,15,1,3,2565,1,1,2,CLOSED
16329,feat: Batched response streaming,Ithanil,2025-08-06T12:20:30Z,2025-08-09T19:43:39+00:00,1,79.39,False,88,7,7,8487,20,1,21,CLOSED
16249,fix(frontend): Attempt to resolve TypeError in RichTextInput.svelte,silentoplayz,2025-08-04T02:53:46Z,2025-08-04T13:31:52+00:00,2,10.63,True,20,20,7,4291,2,2,4,MERGED
16185,feat: oracle 23ai Vector search for new supported vector db,hiwylee,2025-07-31T13:08:08Z,2025-08-06T10:36:14+00:00,8,141.47,True,1067,40,9,2837,3,6,9,MERGED
16038,"feat: support audio language selector for deepgram API, add fallback for both openai/deepgram",jfouret,2025-07-26T09:02:03Z,2025-08-17T00:33:52+00:00,5,519.53,False,47,29,1,8811,14,3,17,CLOSED
15999,fix: oauth logout,guenhter,2025-07-24T14:59:43Z,2025-07-24T20:01:53+00:00,1,5.04,False,64,12,5,2833,9,1,10,CLOSED
15909,0.6.19,tjbck,2025-07-21T06:57:21Z,2025-08-09T22:38:49+00:00,2,471.69,True,12617,4016,254,0,3,3,6,MERGED
15906,debounce on chat input.,refactor-gremlin,2025-07-21T06:36:40Z,2025-07-31T12:02:55+00:00,1,245.44,False,15,4,1,2764,1,2,3,CLOSED
15811,feat: support extra metadata in vectordb,guenhter,2025-07-17T08:37:42Z,2025-08-04T11:12:52+00:00,2,434.59,False,8,5,3,3774,5,2,7,CLOSED
