number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
8337,correct alignment in empty component demo,kouzoukian,2025-10-03T21:53:31Z,2025-10-04T07:34:25+00:00,1,9.68,True,1,1,1,116,2,0,2,MERGED
8256,fix: correct improper JSON syntax,brandonmcconnell,2025-09-19T16:33:31Z,2025-09-20T04:40:42+00:00,1,12.12,True,1,1,1,12,1,0,1,MERGED
8186,feat(shadcn): fix transformCssVars function,imskyleen,2025-09-09T11:26:50Z,2025-09-15T12:08:56+00:00,1,144.7,True,13,11,4,849,4,0,4,MERGED
8184,docs: fix bad link to registry index,Ehesp,2025-09-09T10:47:58Z,2025-09-09T16:19:58+00:00,1,5.53,True,1,1,1,0,1,0,1,MERGED
8155,feat: add @elements to trusted registries,Railly,2025-09-04T14:03:18Z,2025-09-04T16:29:52+00:00,1,2.44,True,1,0,1,936,1,0,1,MERGED
8153,feat: add clerk to known registries,alexcarpenter,2025-09-04T13:49:26Z,2025-09-04T16:24:38+00:00,1,2.59,True,1,0,1,0,1,0,1,MERGED
8145,feat: add @blocks in trusted registries,ephraimduncan,2025-09-04T08:05:07Z,2025-09-04T16:18:48+00:00,1,8.23,True,1,0,1,0,3,0,3,MERGED
8095,fix: update tailwindcss intellisense settings,zougari47,2025-08-28T10:13:25Z,2025-08-31T10:25:19+00:00,1,72.2,True,1,6,1,0,1,0,1,MERGED
8091,Docs: Fix link to namespaced registries documentation,MrUprizing,2025-08-27T16:16:14Z,2025-08-27T17:46:19+00:00,1,1.5,True,1,1,1,62,1,0,1,MERGED
8082,feat(charts): support legend and tooltip type none,mxkaske,2025-08-26T13:18:09Z,2025-09-15T05:14:47+00:00,1,471.94,True,273,261,6,576,2,1,3,MERGED
7874,fix: resolve table overflow styling issues,mohit4bug,2025-07-22T17:39:17Z,2025-07-23T07:32:06+00:00,1,13.88,True,19,19,9,55,2,0,2,MERGED
7837,fix: handling of themes in registry,shadcn,2025-07-16T15:27:45Z,2025-07-22T07:13:37+00:00,1,135.76,True,9,2,2,0,2,0,2,MERGED
7742,fix(cli): Update package.json name property when init next-monorepo,sirldev,2025-07-06T05:28:56Z,2025-10-05T10:18:31+00:00,1,2188.83,True,15,1,2,209,7,0,7,MERGED
7724,"fix(component) Date Picker Dropdown values not visible in chrome, opera and edge",successbyte,2025-07-02T07:05:16Z,2025-07-09T07:43:16+00:00,1,168.63,True,18,9,9,260,6,0,6,MERGED
7643,docs(v4): link to obra figma kit,Wolfr,2025-06-18T12:14:33Z,2025-06-30T07:45:49+00:00,1,283.52,True,1,0,1,59,2,0,2,MERGED
7638,docs(CONTRIBUTING): update references from `shadcn-ui` to `shadcn`in CONTRIBUTING.md,canbulgay,2025-06-17T18:01:05Z,2025-07-04T10:28:05+00:00,1,400.45,False,5,5,1,165,1,3,4,CLOSED
7618,chore(vscode): configure Tailwind IntelliSense for monorepo UI,Steellgold,2025-06-15T19:36:30Z,2025-06-16T11:18:28+00:00,1,15.7,True,3,0,1,650,2,0,2,MERGED
7611,fix(components): resolve duplicate id conflict in calendar-24 component,xabierlameiro,2025-06-14T12:52:02Z,2025-06-16T12:13:51+00:00,2,47.36,True,6,6,3,747,2,0,2,MERGED
7609,fix(cli): correct function name typo unnsetSpreadElements to unsetSpreadElements,xabierlameiro,2025-06-14T10:52:03Z,2025-06-18T07:44:59+00:00,1,92.88,True,10,5,3,0,2,0,2,MERGED
7604,Add newly available Figma kit to docs,Wolfr,2025-06-13T13:06:40Z,2025-06-16T12:21:26+00:00,1,71.25,True,1,0,1,168,2,0,2,MERGED
7601,fix TanStack Start detection,schiller-manuel,2025-06-12T19:38:09Z,2025-06-16T11:24:41+00:00,1,87.78,True,6,2,2,178,2,0,2,MERGED
7585,chore: update react-day-picker version to match updated calendar component,bytaesu,2025-06-10T16:12:06Z,2025-06-12T11:44:40+00:00,1,43.54,True,5,5,5,242,2,0,2,MERGED
7540,feat(shadcn): add support for updating dependencies with expo-cli for RN compatibility,mrzachnugent,2025-06-04T18:15:35Z,2025-06-16T12:05:41+00:00,1,281.83,True,132,34,5,683,3,1,4,MERGED
