number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
7073,Add MIT license badge to README #7070,jaiyankargupta,2025-10-01T18:19:38Z,2025-10-02T18:23:17+00:00,1,24.06,True,28,28,1,647,1,0,1,MERGED
7065,docs: fix rate limiting link,Supakornn,2025-10-01T04:11:43Z,2025-10-01T15:18:49+00:00,1,11.12,True,1,1,1,94,0,0,0,MERGED
7046,docs: fix typos,kianmeng,2025-09-18T06:20:47Z,2025-09-19T13:01:16+00:00,1,30.67,True,1,1,2,49,1,0,1,MERGED
7037,♿️ Add alt text to logo image,k-utsumi,2025-09-16T02:38:48Z,2025-09-16T14:04:20+00:00,2,11.43,True,1,1,1,191,0,0,0,MERGED
7032,chore: remove unused terser-webpack-plugin,noritaka1166,2025-09-15T03:02:25Z,2025-09-15T06:14:30+00:00,1,3.2,True,24,509,2,35,0,0,0,MERGED
7028,refactor: change if in else to else if,noritaka1166,2025-09-13T18:06:53Z,2025-09-14T09:53:02+00:00,1,15.77,True,2,4,1,51,1,0,1,MERGED
7022,chore(ci): add local HTTP server for Karma tests;,DigitalBrainJS,2025-09-12T19:53:28Z,2025-09-13T14:50:32+00:00,1,18.95,True,133,5,6,350,0,1,1,MERGED
7011,fix(node): enforce maxContentLength for data: URLs,AmeerAssadi,2025-09-09T17:50:14Z,2025-09-10T13:08:43+00:00,8,19.31,True,123,0,4,617,8,6,14,MERGED
7006,chore(CI): fixed release info script to use npm registry instead of git as file history source;,DigitalBrainJS,2025-09-03T21:13:07Z,2025-09-04T06:33:40+00:00,2,9.34,True,3940,118,4,816,0,1,1,MERGED
7003,"feat(fetch): add fetch, Request, Response env config variables for the adapter;",DigitalBrainJS,2025-08-29T00:17:11Z,2025-08-30T19:02:24+00:00,1,42.75,True,323,175,7,682,13,0,13,MERGED
7002,chore: removing dist files from src,WillianAgostini,2025-08-28T23:59:34Z,2025-09-03T06:41:24+00:00,1,126.7,True,5,16755,18,11,1,0,1,MERGED
6998,fix(fetch-adapter): set correct Content-Type for Node FormData,emiedonmokumo,2025-08-22T21:03:22Z,2025-08-25T18:46:53+00:00,6,69.73,True,55,35,2,1272,5,4,9,MERGED
6982,feat(adapter): surface low‑level network error details; attach origin…,mkhani01,2025-07-29T10:06:46Z,2025-07-30T07:57:27+00:00,3,21.84,True,111,15,5,2089,2,1,3,MERGED
6980,fix(sandbox): Improper Encoding or Escaping of Output as DOM text reinterpreted as HTML,odaysec,2025-07-26T00:07:10Z,2025-07-28T15:18:02+00:00,1,63.18,True,8,8,1,1336,1,0,1,MERGED
6978,chore(deps): bump form-data from 4.0.0 to 4.0.4 for v0.x,wolandec,2025-07-24T10:44:44Z,2025-07-25T09:35:28+00:00,1,22.85,True,263,49,2,88,10,0,10,MERGED
6974,[Release] v1.11.0,github-actions,2025-07-22T19:03:38Z,2025-07-23T06:04:30+00:00,1,11.01,True,212,50,17,626,2,0,2,MERGED
6971,chore(deps): bump form-data from 4.0.0 to 4.0.4,dependabot,2025-07-21T23:05:44Z,2025-07-22T18:59:20+00:00,2,19.89,False,184,91,1,4283,1,0,1,CLOSED
6970,Fix Critical Security Vulnerability in form-data Dependency,izzygld,2025-07-21T07:35:49Z,2025-07-22T18:58:10+00:00,10,35.37,True,186,93,2,1366,9,0,9,MERGED
6961,fix #6949: prevent RangeError when using large Buffers in axios requests,manishsahanidev,2025-07-09T07:27:07Z,2025-07-15T18:18:25+00:00,1,154.85,True,70,0,2,4093,1,0,1,MERGED
6956,fix(types): resolve type discrepancies between ESM and CJS TypeScript…,jrnail23,2025-07-03T21:24:01Z,2025-07-16T17:50:56+00:00,12,308.45,True,13,2,1,80,2,6,8,MERGED
6939,refactor: use an object spread instead of Object.assign,noritaka1166,2025-06-11T12:28:22Z,2025-07-06T14:51:51+00:00,1,602.39,True,9,7,3,82,1,0,1,MERGED
6938,refactor: use spread operator instead of '.apply()',noritaka1166,2025-06-11T11:56:07Z,2025-07-06T14:59:56+00:00,1,603.06,True,3,3,2,78,1,0,1,MERGED
6930,fix(platform): replace crypto with cross-platform getRandomValues helper,WillianAgostini,2025-06-06T03:05:12Z,2025-06-29T22:27:53+00:00,1,571.38,False,19,2,1,344,1,0,1,CLOSED
6923,chore: fix typos in test,noritaka1166,2025-05-30T03:20:42Z,2025-06-01T16:28:07+00:00,1,61.12,True,2,2,2,17,2,0,2,MERGED
6922,refactor: remove unused import in test,noritaka1166,2025-05-30T03:20:04Z,2025-06-01T16:31:50+00:00,1,61.2,True,0,4,3,28,1,0,1,MERGED
6917,Fix boolean values causing error when performing POST multipart/form-data,dimitry-lzs,2025-05-21T02:16:00Z,2025-05-21T15:32:38+00:00,2,13.28,True,4,0,1,646,1,0,1,MERGED
6895,feat: add HTTP/2 support,WillianAgostini,2025-04-27T22:26:26Z,2025-09-19T00:44:00+00:00,3,3458.29,False,1076,621,12,549,5,7,12,CLOSED
6894,docs(CONTRIBUTING): update documentation link for better accuracy,Tejaswi1305,2025-04-27T19:34:16Z,2025-06-27T06:46:36+00:00,1,1451.21,True,1,1,1,246,1,0,1,MERGED
6883,fix(adapter): pass fetchOptions to fetch function,warpdev,2025-04-21T09:23:44Z,2025-06-01T16:57:50+00:00,2,991.57,True,1,1,1,447,2,0,2,MERGED
6872,Updated README to correct description of keepAlive option,howiezhao,2025-04-13T10:12:12Z,2025-04-25T19:08:55+00:00,1,296.95,True,3,1,1,252,1,0,1,MERGED
6870,"Improve fetchOptions type for better autocomplete, type safety, and Next.js compatibility",vgotu99,2025-04-10T08:26:03Z,2025-04-25T19:27:56+00:00,1,371.03,False,2,2,2,588,1,0,1,CLOSED
6855,fix(types): no auto complete for adapters,FatahChan,2025-03-26T17:33:04Z,2025-04-19T15:54:33+00:00,1,574.36,True,2,2,2,596,4,0,4,MERGED
6833,fix(buildFullPath): handle `allowAbsoluteUrls: false` without `baseURL`,mhassan1,2025-03-14T17:11:10Z,2025-03-18T18:01:37+00:00,2,96.84,True,5,1,2,177,2,1,3,MERGED
6829,Backport allowAbsoluteUrls vuln fix to v0.x,thatguyinabeanie,2025-03-13T14:49:27Z,2025-03-19T10:24:25+00:00,6,139.58,True,11,6,5,120,9,5,14,MERGED
6818,fix: add missing type for allowAbsoluteUrls,StefanBRas,2025-03-10T12:06:49Z,2025-03-10T17:22:36+00:00,1,5.26,True,4,0,4,228,3,0,3,MERGED
6811,docs: update readme to include bun install,Electroid,2025-03-06T20:22:05Z,2025-03-10T17:04:04+00:00,1,92.7,True,6,0,1,63,1,0,1,MERGED
6808,[Chore] Update sponsor block,github-actions,2025-03-05T01:29:46Z,2025-03-10T17:02:19+00:00,1,135.54,False,1,13,1,25,0,0,0,CLOSED
6804,[Chore] Update sponsor block,github-actions,2025-02-27T01:29:39Z,2025-03-02T15:29:51+00:00,1,86.0,True,2,2,1,1079,0,0,0,MERGED
6787,docs: Modify upgrade guide for 0.28.1's breaking change,nafeger,2025-02-17T00:54:51Z,2025-03-10T17:09:19+00:00,1,520.24,True,21,0,1,485,0,0,0,MERGED
6782,Include custom response headers,WillianAgostini,2025-02-11T03:34:29Z,2025-08-12T07:29:02+00:00,1,4371.91,True,107,4,4,339,1,0,1,MERGED
6777,Include License Header in Minified JavaScript File,WillianAgostini,2025-02-06T23:41:41Z,2025-02-09T09:15:25+00:00,1,57.56,True,1,1,1,98,2,0,2,MERGED
6774,Codespace vigilant capybara vppq57x5v6ghx5vg,ericdimon86,2025-02-04T17:42:34Z,2025-02-09T09:16:53+00:00,1,111.57,False,10,10,5,479,0,0,0,CLOSED
6772,Codespace psychic disco jrrqgwx96672q5gq,ericdimon86,2025-02-04T14:45:04Z,2025-02-09T09:17:14+00:00,1,114.54,False,4,4,4,479,0,0,0,CLOSED
6771,fix: typo in README,llamington,2025-01-28T20:44:22Z,2025-01-31T17:10:21+00:00,1,68.43,True,1,1,1,54,1,0,1,MERGED
6770,Added missing colons and period for consistency,shaymolcho,2025-01-24T07:41:53Z,2025-01-28T17:31:24+00:00,1,105.83,True,2,2,1,731,1,0,1,MERGED
