number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
100606,Compile tensorflow shared library with -Bsymbolic-functions,danilaml,2025-09-19T16:18:32Z,2025-09-22T17:29:41+00:00,6,73.19,True,13,4,3,65,0,1,1,MERGED
100523,Fix some definition in func `tf.raw_ops.ExperimentalThreadPoolHandle`,ILCSFNO,2025-09-18T13:31:32Z,2025-09-19T16:47:47+00:00,1,27.27,True,9,10,1,198,0,0,0,MERGED
100501,Clarify the error raised between `pad_values` and `padding_width` in func `tf.strings.ngrams()`,ILCSFNO,2025-09-18T09:41:42Z,2025-09-19T16:29:00+00:00,1,30.79,True,2,1,1,13,0,0,0,MERGED
100498,Clarify the limitation between scientific and shortest in func `tf.strings.as_string()`,ILCSFNO,2025-09-18T09:31:57Z,2025-09-19T16:55:21+00:00,1,31.39,True,2,0,1,13,0,0,0,MERGED
100487,I'm a spammer and I spam,asitab,2025-09-18T06:00:30Z,2025-09-18T16:58:36+00:00,1,10.97,False,1,0,1,30,2,0,2,CLOSED
100456,Fixes post llvm-upstream #152856,mtrofin,2025-09-17T22:00:44Z,2025-10-01T13:33:37+00:00,1,327.55,False,142,153,7,0,1,1,2,CLOSED
100400,Fix error handling in CropAndResizeOp: replace absl::InvalidArgumentError with errors::InvalidArgument,DasoTD,2025-09-16T19:51:44Z,2025-09-18T15:13:15+00:00,1,43.36,False,4,4,1,892,1,0,1,CLOSED
100235,Clarify the range of action of select_cols in tf.io.decode_csv() and tf.raw_ops.DecodeCSV(),ILCSFNO,2025-09-12T08:19:58Z,2025-09-16T20:55:18+00:00,1,108.59,True,10,0,2,13,0,0,0,MERGED
100140,Clarify the error raised in tf.train.CheckpointManager(),ILCSFNO,2025-09-11T09:20:42Z,2025-09-15T16:31:54+00:00,1,103.19,True,1,0,1,13,0,0,0,MERGED
100135,Note and Clarify the Error Raised in tf.raw_ops.ExtractGlimpse() and tf.raw_ops.ExtractGlimpseV2(),ILCSFNO,2025-09-11T08:20:19Z,2025-09-15T16:45:58+00:00,1,104.43,True,4,4,3,13,0,0,0,MERGED
99904,`tf.math.argmax` support for int16 tensor in axis.,Ma-gi-cian,2025-09-08T14:38:15Z,2025-09-23T04:57:36+00:00,6,350.32,False,50,0,2,1097,4,5,9,CLOSED
99780,Ensure tf.clip_by_value returns positive zero for clipped values on GPU,zvoicu000,2025-09-04T11:46:50Z,2025-10-01T16:22:20+00:00,2,652.59,False,23,0,2,202,3,0,3,CLOSED
99601,Add example code using tensor class.,kunaljani1100,2025-09-01T21:07:39Z,2025-09-02T13:16:45+00:00,1,16.15,False,36,0,1,1056,1,0,1,CLOSED
99597,Bump the github-actions group with 3 updates,dependabot,2025-09-01T15:40:12Z,2025-09-04T14:40:18+00:00,1,71.0,True,15,15,11,12648,0,0,0,MERGED
