number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
10074,build: Docker compose version removed,despinozap,2025-10-05T03:20:57Z,2025-10-05T12:48:54+00:00,1,9.47,True,0,2,1,110,2,0,2,MERGED
10041,feat: Make naming of library items discoverable,zsviczian,2025-09-30T16:30:24Z,2025-09-30T18:38:10+00:00,1,2.13,True,24,6,4,372,3,0,3,MERGED
10018,fix: added normalization to images added with the image tool to prevent MIME-mismatches,Mask1nen,2025-09-24T01:51:48Z,2025-09-24T16:30:50+00:00,1,14.65,True,4,1,1,508,3,0,3,MERGED
10016,fix: text to diagram translation update issue on language update,akib22,2025-09-23T17:20:23Z,2025-10-02T14:47:27+00:00,1,213.45,True,13,18,2,371,1,0,1,MERGED
10013,fix: Race conditions when adding many library items,ericvannunen,2025-09-23T08:02:48Z,2025-09-23T21:47:03+00:00,7,13.74,True,147,75,6,265,4,4,8,MERGED
10007,fix: Use analytical Jacobian for curve intersection testing,mtolmacs,2025-09-22T16:34:29Z,2025-09-24T17:33:20+00:00,1,48.98,True,101,82,3,73,2,0,2,MERGED
10006,fix: Arrow eraser precision arrow selection,mtolmacs,2025-09-22T14:45:58Z,2025-09-24T18:28:41+00:00,1,51.71,True,53,20,2,0,2,0,2,MERGED
9992,fix: small improvement on binary heap implementation,yagodorea,2025-09-17T12:21:01Z,2025-09-30T15:09:21+00:00,2,314.81,True,24,19,1,350,1,3,4,MERGED
9979,fix: Use the right polygon enclosure test,mtolmacs,2025-09-15T06:49:54Z,2025-09-15T08:07:37+00:00,1,1.3,True,2,2,1,179,3,0,3,MERGED
9961,fix: display error message when local storage quota is exceeded,h0lm1,2025-09-10T19:32:44Z,2025-09-30T21:54:43+00:00,1,482.37,True,39,5,4,337,5,0,5,MERGED
9946,fix: eraser can handle dots without regressing prior performance improvements,cTangonan123,2025-09-06T02:05:34Z,2025-09-14T11:33:43+00:00,15,201.47,True,176,4,3,1341,9,10,19,MERGED
9914,fix: bound text rotation across alignments,cTangonan123,2025-08-27T04:17:10Z,2025-08-29T10:31:23+00:00,11,54.24,True,220,13,6,2241,3,2,5,MERGED
9910,feat: compact layout for tablets,ryan-di,2025-08-25T13:18:55Z,2025-09-12T00:18:31+00:00,1,418.99,True,1527,147,32,287,4,0,4,MERGED
9903,feat: library search,ArchishmanSengupta,2025-08-23T22:56:15Z,2025-09-28T20:16:28+00:00,2,861.34,True,459,183,19,1127,26,0,26,MERGED
9899,fix: restore from invalid fixedSegments & type-safer point updates,dwelle,2025-08-21T20:59:38Z,2025-08-22T15:45:58+00:00,3,18.77,True,34,18,2,1036,4,1,5,MERGED
9889,fix: tighten distance for double tap text creation,ryan-di,2025-08-20T01:18:10Z,2025-08-22T16:12:51+00:00,1,62.91,True,33,7,2,11,4,0,4,MERGED
9879,fix: Scene deleted after pica image resize failure,zsviczian,2025-08-17T20:40:10Z,2025-08-18T09:45:05+00:00,5,13.08,True,1,1,1,11,3,2,5,MERGED
9875,feat: [cont.] support inserting multiple images,Brikaa,2025-08-16T19:04:41Z,2025-09-01T15:31:25+00:00,17,380.45,True,892,499,15,15,3,12,15,MERGED
9869,feat: apply deltas API,Mrazator,2025-08-14T14:49:18Z,2025-08-15T13:25:56+00:00,3,22.61,True,750,152,8,253,3,1,4,MERGED
9853,fix: text restore & deletion issues,Mrazator,2025-08-11T15:29:09Z,2025-08-12T07:27:05+00:00,12,15.97,True,229,154,14,227,2,3,5,MERGED
9851,fix: do not auto-add elements to locked frame,zsviczian,2025-08-10T10:20:34Z,2025-08-11T09:52:45+00:00,1,23.54,True,3,2,1,11,2,0,2,MERGED
9844,fix: do not strip invisible elements from array,dwelle,2025-08-08T12:35:40Z,2025-08-12T09:56:11+00:00,1,93.34,True,102,44,9,0,3,1,4,MERGED
9839,fix: editing linear element,Mrazator,2025-08-07T13:02:09Z,2025-08-08T07:30:11+00:00,1,18.47,True,238,282,9,245,2,0,2,MERGED
9830,feat: fix delta apply to issues,Mrazator,2025-08-05T11:24:03Z,2025-08-07T13:38:58+00:00,2,50.25,True,174,27,4,86,2,2,4,MERGED
9795,feat: allow a frame to snap to its children,ryan-di,2025-07-28T07:44:06Z,2025-07-31T11:58:30+00:00,1,76.24,True,3,10,1,11,2,0,2,MERGED
9794,fix: add frame clipping to new element canvas,ryan-di,2025-07-28T05:16:13Z,2025-07-31T12:10:59+00:00,1,78.91,True,30,3,2,0,2,0,2,MERGED
9791,fix: Fix the root cause of `flushSync` flickering,Brikaa,2025-07-27T17:47:05Z,2025-07-27T21:52:08+00:00,1,4.08,True,7,20,1,512,2,0,2,MERGED
9786,fix: Remove local elements when there is room data during `startCollaboration`,Brikaa,2025-07-26T10:57:14Z,2025-09-23T22:18:41+00:00,2,1427.36,True,4,1,1,173,2,1,3,MERGED
9771,chore: Remove editingLinearElement,mtolmacs,2025-07-22T14:29:30Z,2025-07-24T15:02:21+00:00,6,48.55,True,349,399,25,878,5,2,7,MERGED
9760,fix: multiple line editor bugs,Brikaa,2025-07-18T18:37:52Z,2025-07-24T07:11:04+00:00,1,132.55,True,37,29,4,491,3,0,3,MERGED
9754,test: added test file for distribute,cTangonan123,2025-07-16T17:18:56Z,2025-07-17T17:52:16+00:00,1,24.56,True,128,0,1,246,1,0,1,MERGED
9744,"feat: expose `applyTo` options, don't commit empty text element",Mrazator,2025-07-14T15:52:20Z,2025-07-17T13:22:32+00:00,2,69.5,True,27,8,3,107,2,1,3,MERGED
9740,fix: improve line creation ux on touch screens,ryan-di,2025-07-14T08:02:46Z,2025-07-23T08:49:56+00:00,8,216.79,True,113,102,9,221,5,3,8,MERGED
9734,fix: Remove flushSync from alt-lasso and elbow dragging,Brikaa,2025-07-11T17:24:13Z,2025-07-23T21:39:16+00:00,1,292.25,True,19,25,1,96,2,0,2,MERGED
9732,"feat: drag, resize, and rotate after selecting in lasso",ryan-di,2025-07-11T04:18:20Z,2025-08-19T22:03:02+00:00,2,953.75,True,354,108,10,101,8,1,9,MERGED
