number,title,author,createdAt,closedOrMergedAt,reviewsCount,hoursOpen,merged,additions,deletions,changedFiles,bodyLength,issueCommentsCount,reviewThreadsCount,interactionsCount,finalReviewState
14230,chore(deps): update dependency rollup to v4.52.3,renovate,2025-09-30T08:59:06Z,2025-10-02T08:34:29+00:00,1,47.59,True,104,104,2,1286,1,0,1,MERGED
14225,Fix `clippy::used_underscore_binding` lint in command macro,rmburg,2025-09-28T09:57:11Z,2025-09-28T11:21:58+00:00,1,1.41,True,1,1,1,775,1,0,1,MERGED
14223,Add support for adaptive and themed  icons on android ,kandrelczyk,2025-09-27T12:08:44Z,2025-10-01T12:41:54+00:00,4,96.55,True,504,94,2,352,7,2,9,MERGED
14216,chore(deps): update dependency rollup to v4.52.2,renovate,2025-09-26T04:36:58Z,2025-09-27T13:54:42+00:00,1,33.3,True,104,104,2,1215,1,0,1,MERGED
14212,fixed linting warnings in .md files,Fahad090NP,2025-09-24T09:21:55Z,2025-09-25T15:21:18+00:00,5,29.99,False,43,490,3,199,2,5,7,CLOSED
14209,FIX: Fixed GDI object leak when a resizable window is created and then closed on Windows platform,gribunin,2025-09-23T12:23:22Z,2025-09-24T18:57:05+00:00,10,30.56,True,11,4,1,426,1,1,2,MERGED
14197,Remove spam link in README,shanecav84,2025-09-18T15:22:19Z,2025-09-18T16:52:47+00:00,1,1.51,True,1,1,1,38,3,0,3,MERGED
14188,chore(deps): update dependency rollup to v4.52.0,renovate,2025-09-15T12:00:51Z,2025-09-25T13:41:58+00:00,1,241.69,True,109,100,2,2662,2,0,2,MERGED
14172,chore(deps-dev): bump vite from 7.0.4 to 7.0.7,dependabot,2025-09-09T21:08:29Z,2025-09-11T03:14:50+00:00,1,30.11,True,84,83,2,3552,2,0,2,MERGED
14170,fix(macros): stack overflow in invoke handler,Legend-Master,2025-09-08T04:54:37Z,2025-09-08T09:38:16+00:00,1,4.73,True,7,2,2,282,5,0,5,MERGED
14169,chore(deps): update dependency rollup to v4.50.1,renovate,2025-09-07T13:02:36Z,2025-09-09T03:12:36+00:00,1,38.17,True,100,100,2,1187,1,0,1,MERGED
14148,feat(ios): support async Swift plugin methods (`completionHandler:`) in PluginManager,Choochmeque,2025-09-04T09:58:06Z,2025-10-02T12:00:44+00:00,1,674.04,True,21,1,2,1128,4,0,4,MERGED
14136,docs: improve resources docs,Legend-Master,2025-09-01T13:54:48Z,2025-09-01T15:15:43+00:00,1,1.35,True,158,90,5,158,1,0,1,MERGED
14129,"feat(cli): prompt to install iOS runtime if needed, closes #9186",lucasfernog,2025-08-31T14:25:35Z,2025-09-01T16:55:51+00:00,1,26.5,True,70,2,4,0,3,0,3,MERGED
14126,refactor(cli): improve errors,lucasfernog,2025-08-31T02:43:05Z,2025-10-02T09:58:26+00:00,9,775.26,True,1952,996,87,633,6,2,8,MERGED
14122,feat(cli): set default log level when adding the log plugin,lucasfernog,2025-08-29T18:39:20Z,2025-09-01T16:55:59+00:00,3,70.28,True,8,0,2,50,1,1,2,MERGED
14121,chore(tauri): update documentation for home_dir on iOS,lucasfernog,2025-08-29T18:34:03Z,2025-08-30T11:09:38+00:00,1,16.59,True,2,0,2,10,1,0,1,MERGED
14112,fix(cli): set package type for Deno,lucasfernog,2025-08-28T18:59:46Z,2025-08-28T21:02:10+00:00,1,2.04,True,7,0,2,189,1,0,1,MERGED
14111,feat(cli): retain all RUST_* env vars on mobile commands,lucasfernog,2025-08-28T18:54:11Z,2025-08-28T21:02:22+00:00,1,2.14,True,7,0,2,54,1,0,1,MERGED
14110,"fix(cli): ios command failing when running with deno, closes #13547",lucasfernog,2025-08-28T18:52:25Z,2025-08-28T21:02:47+00:00,1,2.17,True,12,2,2,134,1,0,1,MERGED
14107,"feat(core): enhance error message for dev server request, closes #13816",lucasfernog,2025-08-28T13:48:26Z,2025-08-28T15:36:50+00:00,1,1.81,True,19,2,2,0,1,0,1,MERGED
14106,"fix(cli): export method on Xcode < 15.4, closes #13818",lucasfernog,2025-08-28T12:56:58Z,2025-08-28T15:37:27+00:00,1,2.67,True,61,2,4,50,1,0,1,MERGED
14105,"chore(cli): warn when product name is missing, closes #14034",lucasfernog,2025-08-28T12:12:30Z,2025-10-02T11:28:30+00:00,1,839.27,True,13,0,2,0,1,0,1,MERGED
14094,feat(cli): detect Android env and install SDK and NDK if needed,lucasfernog,2025-08-26T18:17:52Z,2025-10-01T12:33:15+00:00,2,858.26,True,290,48,11,194,5,0,5,MERGED
14093,feat(cli): ensure mobile Rust targets are installed,lucasfernog,2025-08-26T18:17:44Z,2025-08-27T21:05:25+00:00,1,26.79,True,52,3,7,279,4,0,4,MERGED
14091,feat(api): add dataDirectory setting config,FabianLars,2025-08-26T13:30:55Z,2025-09-01T16:56:26+00:00,1,147.43,True,147,2,6,171,1,0,1,MERGED
14089,feat: Expose ScrollBarStyle webview option to tauri.,Themayu,2025-08-26T10:40:22Z,2025-09-02T10:14:59+00:00,1,167.58,True,285,7,13,235,8,0,8,MERGED
14083,fix: don't set macos deployment target in dev,FabianLars,2025-08-25T15:17:25Z,2025-08-27T20:07:08+00:00,4,52.83,True,23,6,8,301,10,2,12,MERGED
14074,chore(deps): update rust crate jsonschema to 0.33,renovate,2025-08-24T21:30:00Z,2025-08-25T01:25:53+00:00,1,3.93,True,5,5,2,848,1,0,1,MERGED
14065,fix(windows): binary patching 32 bit updater type,Legend-Master,2025-08-23T14:50:29Z,2025-08-24T11:16:13+00:00,1,20.43,True,18,16,2,217,3,0,3,MERGED
14062,Fix bench,KushalMeghani1644,2025-08-23T09:37:58Z,2025-09-01T18:18:20+00:00,3,224.67,True,214,135,1,0,3,4,7,MERGED
14058,docs: add a guide for `app > windows`,Legend-Master,2025-08-22T13:06:07Z,2025-08-24T13:55:44+00:00,1,48.83,True,67,4,3,0,1,0,1,MERGED
14057,"refactor(bench): improve utils.rs safety, error handling, and docs",KushalMeghani1644,2025-08-22T08:44:52Z,2025-08-22T11:04:57+00:00,1,2.33,True,133,102,1,443,1,0,1,MERGED
14054,fix: set webview2 path before initializing runtime,FabianLars,2025-08-21T11:43:20Z,2025-08-24T11:18:14+00:00,3,71.58,True,25,19,2,257,1,1,2,MERGED
